Id,Label
Aemon,Aemon
Grenn,Grenn
Samwell,Samwell
Aerys,Aerys
Jaime,Jaime
Robert,Robert
Tyrion,Tyrion
Tywin,Tywin
Alliser,Alliser
Mance,Mance
Amory,Amory
Oberyn,Oberyn
Arya,Arya
Anguy,Anguy
Beric,Beric
Bran,Bran
Brynden,Brynden
Cersei,Cersei
Gendry,Gendry
Gregor,Gregor
Joffrey,Joffrey
Jon,Jon
Rickon,Rickon
Roose,Roose
Sandor,Sandor
Thoros,Thoros
Balon,Balon
Loras,Loras
Belwas,Belwas
Barristan,Barristan
Illyrio,Illyrio
Hodor,Hodor
Jojen,Jojen
Luwin,Luwin
Meera,Meera
Nan,Nan
Theon,Theon
Brienne,Brienne
Bronn,Bronn
Podrick,Podrick
Lothar,Lothar
Walder,Walder
Catelyn,Catelyn
Edmure,Edmure
Hoster,Hoster
Jeyne,Jeyne
Lysa,Lysa
Petyr,Petyr
Robb,Robb
Roslin,Roslin
Sansa,Sansa
Stannis,Stannis
Elia,Elia
Ilyn,Ilyn
Meryn,Meryn
Pycelle,Pycelle
Shae,Shae
Varys,Varys
Craster,Craster
Karl,Karl
Daario,Daario
Drogo,Drogo
Irri,Irri
Daenerys,Daenerys
Aegon,Aegon
Jorah,Jorah
Kraznys,Kraznys
Missandei,Missandei
Rakharo,Rakharo
Rhaegar,Rhaegar
Viserys,Viserys
Worm,Worm
Davos,Davos
Cressen,Cressen
Salladhor,Salladhor
Eddard,Eddard
Eddison,Eddison
Gilly,Gilly
Qyburn,Qyburn
Renly,Renly
Tommen,Tommen
Janos,Janos
Bowen,Bowen
Kevan,Kevan
Margaery,Margaery
Myrcella,Myrcella
Dalla,Dalla
Melisandre,Melisandre
Orell,Orell
Qhorin,Qhorin
Rattleshirt,Rattleshirt
Styr,Styr
Val,Val
Ygritte,Ygritte
Jon Arryn,Jon Arryn
Lancel,Lancel
Olenna,Olenna
Marillion,Marillion
Robert Arryn,Robert Arryn
Ellaria,Ellaria
Mace,Mace
Rickard,Rickard
Ramsay,Ramsay
Chataya,Chataya
Shireen,Shireen
Doran,Doran
Walton,Walton
