Source,Target,Type,Id,Label,timeset,Weight
BLACK PANTHER/T'CHAL,LOKI [ASGARDIAN],Undirected,1103138,,,10
BLACK PANTHER/T'CHAL,MANTIS/? BRANDT,Undirected,1102126,,,23
BLACK PANTHER/T'CHAL,ICEMAN/ROBERT BOBBY,Undirected,1081430,,,12
BLACK PANTHER/T'CHAL,MARVEL GIRL/JEAN GRE,Undirected,1081426,,,10
BLACK PANTHER/T'CHAL,CYCLOPS/SCOTT SUMMER,Undirected,1081425,,,14
BLACK PANTHER/T'CHAL,KLAW/ULYSSES KLAW,Undirected,1069762,,,17
BLACK PANTHER/T'CHAL,HUMAN TORCH/JOHNNY S,Undirected,1029900,,,44
BLACK PANTHER/T'CHAL,"RICHARDS, FRANKLIN B",Undirected,992496,,,6
BLACK PANTHER/T'CHAL,WOLVERINE/LOGAN,Undirected,966032,,,9
BLACK PANTHER/T'CHAL,FIREBIRD/BONITA JUAR,Undirected,966027,,,7
BLACK PANTHER/T'CHAL,MR. FANTASTIC/REED R,Undirected,953357,,,41
BLACK PANTHER/T'CHAL,MEDUSA/MEDUSALITH AM,Undirected,952997,,,16
BLACK PANTHER/T'CHAL,DR. STRANGE/STEPHEN,Undirected,906439,,,23
BLACK PANTHER/T'CHAL,JACK OF HEARTS/JACK,Undirected,864362,,,5
BLACK PANTHER/T'CHAL,MEPHISTO,Undirected,826930,,,7
BLACK PANTHER/T'CHAL,THANOS,Undirected,819156,,,8
BLACK PANTHER/T'CHAL,SWORDSMAN/JACQUES DU,Undirected,818236,,,26
BLACK PANTHER/T'CHAL,COLLECTOR/TANELEER T,Undirected,777159,,,12
BLACK PANTHER/T'CHAL,LOCKJAW [INHUMAN],Undirected,757526,,,10
BLACK PANTHER/T'CHAL,SUB-MARINER/NAMOR MA,Undirected,745266,,,42
BLACK PANTHER/T'CHAL,PHARAOH RAMA-TUT,Undirected,719534,,,6
BLACK PANTHER/T'CHAL,ANT-MAN II/SCOTT HAR,Undirected,640371,,,8
BLACK PANTHER/T'CHAL,LYJA LAZERFIST [SKRU,Undirected,640362,,,6
BLACK PANTHER/T'CHAL,GORGON [INHUMAN],Undirected,620608,,,14
BLACK PANTHER/T'CHAL,NIGHTHAWK II/KYLE RI,Undirected,620603,,,6
BLACK PANTHER/T'CHAL,"CAGE, LUKE/CARL LUCA",Undirected,620592,,,7
BLACK PANTHER/T'CHAL,COLOSSUS II/PETER RA,Undirected,620590,,,6
BLACK PANTHER/T'CHAL,HELLCAT/PATSY WALKER,Undirected,620588,,,8
BLACK PANTHER/T'CHAL,KARNAK [INHUMAN],Undirected,620586,,,13
BLACK PANTHER/T'CHAL,DEATH,Undirected,620585,,,5
BLACK PANTHER/T'CHAL,REDWING,Undirected,610003,,,7
BLACK PANTHER/T'CHAL,DAREDEVIL/MATT MURDO,Undirected,609623,,,21
BLACK PANTHER/T'CHAL,"NORRISS, SISTER BARB",Undirected,609570,,,15
BLACK PANTHER/T'CHAL,RAGE/ELVIN DARYL HAL,Undirected,599408,,,10
BLACK PANTHER/T'CHAL,STARFOX/EROS,Undirected,599405,,,10
BLACK PANTHER/T'CHAL,DEMOLITION MAN/DENNI,Undirected,596665,,,5
BLACK PANTHER/T'CHAL,SERSI/SYLVIA,Undirected,596650,,,14
BLACK PANTHER/T'CHAL,SPIDER-MAN/PETER PAR,Undirected,594715,,,24
BLACK PANTHER/T'CHAL,VISION,Undirected,585953,,,132
BLACK PANTHER/T'CHAL,UATU,Undirected,585947,,,12
BLACK PANTHER/T'CHAL,BINARY/CAROL DANVERS,Undirected,585944,,,14
BLACK PANTHER/T'CHAL,"GYRICH, HENRY PETER",Undirected,584897,,,7
BLACK PANTHER/T'CHAL,NIGHTCRAWLER/KURT WA,Undirected,584331,,,7
BLACK PANTHER/T'CHAL,ANGEL/WARREN KENNETH,Undirected,575398,,,11
BLACK PANTHER/T'CHAL,SILVER SURFER/NORRIN,Undirected,575388,,,15
BLACK PANTHER/T'CHAL,SHE-HULK/JENNIFER WA,Undirected,575387,,,32
GHAUR [DEVIANT],BLACK PANTHER/T'CHAL,Undirected,1132475,,,6
DR. DOOM/VICTOR VON,BLACK PANTHER/T'CHAL,Undirected,1125650,,,17
STORM/ORORO MUNROE S,BLACK PANTHER/T'CHAL,Undirected,1082453,,,13
SCARLET WITCH/WANDA,BLACK PANTHER/T'CHAL,Undirected,1042951,,,108
