Id,Label,timeset
1,BLACK PANTHER/T'CHAL,
2,LOKI [ASGARDIAN],
3,MANTIS/? BRANDT,
4,ICEMAN/ROBERT BOBBY,
5,MARVEL GIRL/JEAN GRE,
6,CYCLOPS/SCOTT SUMMER,
7,KLAW/ULYSSES KLAW,
8,HUMAN TORCH/JOHNNY S,
9,"RICHARDS, FRANKLIN B",
10,WOLVERINE/LOGAN,
11,FIREBIRD/BONITA JUAR,
12,MR. FANTASTIC/REED R,
13,MEDUSA/MEDUSALITH AM,
14,DR. STRANGE/STEPHEN,
15,JACK OF HEARTS/JACK,
16,MEPHISTO,
17,THANOS,
18,SWORDSMAN/JACQUES DU,
19,COLLECTOR/TANELEER T,
20,LOCKJAW [INHUMAN],
21,SUB-MARINER/NAMOR MA,
22,PHARAOH RAMA-TUT,
23,ANT-MAN II/SCOTT HAR,
24,LYJA LAZERFIST [SKRU,
25,GORGON [INHUMAN],
26,NIGHTHAWK II/KYLE RI,
27,"CAGE, LUKE/CARL LUCA",
28,COLOSSUS II/PETER RA,
29,HELLCAT/PATSY WALKER,
30,KARNAK [INHUMAN],
31,DEATH,
32,REDWING,
33,DAREDEVIL/MATT MURDO,
34,"NORRISS, SISTER BARB",
35,RAGE/ELVIN DARYL HAL,
36,STARFOX/EROS,
37,DEMOLITION MAN/DENNI,
38,SERSI/SYLVIA,
39,SPIDER-MAN/PETER PAR,
40,VISION,
41,UATU,
42,BINARY/CAROL DANVERS,
43,"GYRICH, HENRY PETER",
44,NIGHTCRAWLER/KURT WA,
45,ANGEL/WARREN KENNETH,
46,SILVER SURFER/NORRIN,
47,SHE-HULK/JENNIFER WA,
48,GHAUR [DEVIANT],
49,DR. DOOM/VICTOR VON,
50,STORM/ORORO MUNROE S,
51,SCARLET WITCH/WANDA,
52,TOAD/MORTIMER TOYNBE,
53,HULK/DR. ROBERT BRUC,
54,FIRESTAR/ANGELICA JO,
55,WONDER MAN/SIMON WIL,
56,DRAX/ARTHUR DOUGLAS,
57,"DUGAN, TIMOTHY ALOYI",
58,"CARTER, SHARON",
59,BLACK KNIGHT V/DANE,
60,SUNFIRE/SHIRO YOSHID,
61,TRITON,
62,ULTRON,
63,"JONES, RICHARD MILHO",
64,IRON MAN/TONY STARK,
65,"NELSON, FRANKLIN FOG",
66,CAPTAIN AMERICA,
67,"JARVIS, EDWIN",
68,QUASAR III/WENDELL V,
69,"JAMESON, J. JONAH",
70,"MASTERS, ALICIA REIS",
71,MAGNETO/MAGNUS/ERIC,
72,INVISIBLE WOMAN/SUE,
73,PROFESSOR X/CHARLES,
74,IRON FIST/DANIEL RAN,
75,BLACK BOLT/BLACKANTO,
76,HAWK,
77,SANDMAN/WILLIAM BAKE,
78,FALCON/SAM WILSON,
79,STINGRAY/DR. WALTER,
80,JUSTICE II/VANCE AST,
81,HERCULES [GREEK GOD],
82,USAGENT/CAPTAIN JOHN,
83,CAPTAIN MARVEL II/MO,
84,CRYSTAL [INHUMAN],
85,TIGRA/GREER NELSON,
86,SPIDER-WOMAN II/JULI,
87,MACHINE MAN/X-51,
88,MOCKINGBIRD/DR. BARB,
89,CAPTAIN MARVEL/CAPTA,
90,WASP/JANET VAN DYNE,
91,"FURY, COL. NICHOLAS",
92,THOR/DR. DONALD BLAK,
93,QUICKSILVER/PIETRO M,
94,CAPTAIN BRITAIN/BRIA,
95,SHADOWCAT/KATHERINE,
96,BLACK WIDOW/NATASHA,
97,ANT-MAN/DR. HENRY J.,
98,MOON KNIGHT/MARC SPE,
99,JOCASTA,
100,MOONDRAGON/HEATHER D,
101,THING/BENJAMIN J. GR,
102,BEAST/HENRY &HANK& P,
103,NOVA/RICHARD RIDER,
104,WRECKER III/DIRK GAR,
105,WARLOCK II/ADAM WARL,
106,PILEDRIVER II/BRIAN,
107,THUNDERBALL/DR. ELIO,
108,DR. OCTOPUS/OTTO OCT,
109,"BANNER, BETTY ROSS T",
110,AVALANCHE/DOMINIC PE,
111,ATTUMA,
112,HELA [ASGARDIAN],
113,DOC SAMSON/DR. LEONA,
114,GUARDIAN/JAMES MACDO,
115,NORTHSTAR/JEAN-PAUL,
116,DR. DRUID/ANTHONY LU,
117,"WATSON-PARKER, MARY",
118,MYSTIQUE/RAVEN DARKH,
119,PYRO/ALLERDYCE JOHNN,
120,DESTINY II/IRENE ADL,
121,MISTER HYDE/CALVIN Z,
122,GHOST RIDER II/JOHNN,
123,MOLE MAN/HARVEY RUPE,
124,FIRELORD/PYREUS KRIL,
125,LEADER/SAM STERNS,
126,"LE FEY, MORGAN",
127,BULLDOZER/HENRY CAMP,
128,FORGOTTEN ONE/GILGAM,
129,BALDER [ASGARDIAN],
130,HOGUN [ASGARDIAN],
131,HELLSTORM/DAIMON HEL,
132,AURORA/JEANNE-MARIE,
133,"O'BRIEN, MICHAEL",
134,"STANKOWICZ, FABIAN",
135,SCREAMING MIMI/MELIS,
136,MOONSTONE II/KARLA S,
137,FIXER II/PAUL NORBER,
138,DARKSTAR/LAYNIA SERG,
139,VANGUARD/NICOLAI KRY,
140,GAMORA,
141,PSYLOCKE/ELISABETH B,
142,ROGUE /,
143,SASQUATCH/WALTER LAN,
144,LUNA/LUNA MAXIMOFF [,
145,WHIZZER II/STANLEY S,
146,DR. SPECTRUM/JOSEPH,
147,KINGPIN/WILSON FISK,
148,CLEA,
149,POLARIS/LORNA DANE,
150,"DE LA FONTAINE, CONT",
151,HEIMDALL [ASGARDIAN],
152,RED SKULL/JOHANN SCH,
153,"THOMPSON, EUGENE FLA",
154,WONG,
155,"PARKER, MAY",
156,GREEN GOBLIN/NORMAN,
157,NIGHT THRASHER/DUANE,
158,ETERNITY/ADAM QADMON,
159,GALACTUS/GALAN,
160,TRIATHLON/DELROY GAR,
161,BEETLE/ABNER RONALD,
162,LILANDRA NERAMANI [S,
163,ODIN [ASGARDIAN],
164,"HOGAN, VIRGINIA PEPP",
165,MAD DOG/COLONEL BUZZ,
166,"KINCAID, DR. JANE FO",
167,WIZARD/BENTLEY WITTM,
168,CHARCOAL/CHARLIE BUR,
169,BLOB/FRED J. DUKES,
170,CLOAK/TYRONE JOHNSON,
171,THUNDERSTRIKE/ERIC K,
172,POWER MAN/ERIK JOSTE,
173,HUMAN TORCH ANDROID/,
174,JUGGERNAUT/CAIN MARK,
175,ABSORBING MAN/CARL C,
176,VOLSTAGG,
177,SHAMAN/MICHAEL TWOYO,
178,SNOWBIRD/NARYA/ANNE,
179,DAGGER/TANDY BOWEN,
180,PHOENIX III/RACHEL S,
181,MANDARIN,
182,FANDRAL [ASGARDIAN],
183,MS. MARVEL II/SHARON,
184,PIP/PRINCE GOFERN,
185,ENCHANTRESS/AMORA/HE,
186,"JAMESON, COL. JOHN",
187,"COOPER, DR. VALERIE",
188,NOVA II/FRANKIE RAYE,
189,DARKHAWK/CHRIS POWEL,
190,NOMAD III/JACK MONRO,
191,"ROBERTSON, JOE",
192,GARGOYLE II/ISAAC CH,
193,NAMORITA/NITA PRENTI,
194,IRON MAN IV/JAMES R.,
195,"ROSS, GEN. THADDEUS",
196,"HARKNESS, AGATHA",
197,"CARTER, PEGGY",
198,HYPERION,
199,LIVING LIGHTNING/MIG,
200,"JONES, GABE",
201,"OSBORN, LIZ ALLAN",
202,"LEEDS, BETTY BRANT",
203,SIF,
204,DAZZLER II/ALLISON B,
205,MOLECULE MAN/OWEN RE,
206,SPEEDBALL/ROBBIE BAL,
207,LIZARD/DR. CURTIS CO,
208,VOLCANA/MARSHA ROSEN,
209,LOCKHEED,
210,TITANIA II/MARY SKEE,
211,BOOMER/TABITHA SMITH,
