Source,Target,Weight
Black Panther / T'chal,Loki [asgardian],10
Black Panther / T'chal,Mantis / ? Brandt,23
Black Panther / T'chal,Iceman / Robert Bobby,12
Black Panther / T'chal,Marvel Girl / Jean Grey,10
Black Panther / T'chal,Cyclops / Scott Summer,14
Black Panther / T'chal,Klaw / Ulysses Klaw,17
Black Panther / T'chal,Human Torch / Johnny S,44
Black Panther / T'chal,"Richards, Franklin B",6
Black Panther / T'chal,Wolverine / Logan,9
Black Panther / T'chal,Firebird / Bonita Juar,7
Black Panther / T'chal,Mr. Fantastic / Reed R,41
Black Panther / T'chal,Medusa / Medusalith Am,16
Black Panther / T'chal,Dr. Strange / Stephen,23
Black Panther / T'chal,Jack Of Hearts / Jack,5
Black Panther / T'chal,Mephisto,7
Black Panther / T'chal,Thanos,8
Black Panther / T'chal,Swordsman / Jacques Du,26
Black Panther / T'chal,Collector / Taneleer T,12
Black Panther / T'chal,Lockjaw [inhuman],10
Black Panther / T'chal,Sub-mariner / Namor Ma,42
Black Panther / T'chal,Pharaoh Rama-tut,6
Black Panther / T'chal,Ant-man Ii / Scott Har,8
Black Panther / T'chal,Lyja Lazerfist [skru,6
Black Panther / T'chal,Gorgon [inhuman],14
Black Panther / T'chal,Nighthawk Ii / Kyle Ri,6
Black Panther / T'chal,"Cage, Luke / Carl Luca",7
Black Panther / T'chal,Colossus Ii / Peter Ra,6
Black Panther / T'chal,Hellcat / Patsy Walker,8
Black Panther / T'chal,Karnak [inhuman],13
Black Panther / T'chal,Death,5
Black Panther / T'chal,Redwing,7
Black Panther / T'chal,Daredevil / Matt Murdo,21
Black Panther / T'chal,"Norriss, Sister Barb",15
Black Panther / T'chal,Rage / Elvin Daryl Hal,10
Black Panther / T'chal,Starfox / Eros,10
Black Panther / T'chal,Demolition Man / Denni,5
Black Panther / T'chal,Sersi / Sylvia,14
Black Panther / T'chal,Spider-man / Peter Parker,24
Black Panther / T'chal,Vision,132
Black Panther / T'chal,Uatu,12
Black Panther / T'chal,Binary / Carol Danvers,14
