Source,Target,Weight
BLACK PANTHER/T'CHAL,LOKI [ASGARDIAN],10
BLACK PANTHER/T'CHAL,MANTIS/? BRANDT,23
BLACK PANTHER/T'CHAL,ICEMAN/ROBERT BOBBY,12
BLACK PANTHER/T'CHAL,MARVEL GIRL/JEAN GREY,10
BLACK PANTHER/T'CHAL,CYCLOPS/SCOTT SUMMER,14
BLACK PANTHER/T'CHAL,KLAW/ULYSSES KLAW,17
BLACK PANTHER/T'CHAL,HUMAN TORCH/JOHNNY S,44
BLACK PANTHER/T'CHAL,"RICHARDS, FRANKLIN B",6
BLACK PANTHER/T'CHAL,WOLVERINE/LOGAN,9
BLACK PANTHER/T'CHAL,FIREBIRD/BONITA JUAR,7
BLACK PANTHER/T'CHAL,MR. FANTASTIC/REED R,41
BLACK PANTHER/T'CHAL,MEDUSA/MEDUSALITH AM,16
BLACK PANTHER/T'CHAL,DR. STRANGE/STEPHEN,23
BLACK PANTHER/T'CHAL,JACK OF HEARTS/JACK,5
BLACK PANTHER/T'CHAL,MEPHISTO,7
BLACK PANTHER/T'CHAL,THANOS,8
BLACK PANTHER/T'CHAL,SWORDSMAN/JACQUES DU,26
BLACK PANTHER/T'CHAL,COLLECTOR/TANELEER T,12
BLACK PANTHER/T'CHAL,LOCKJAW [INHUMAN],10
BLACK PANTHER/T'CHAL,SUB-MARINER/NAMOR MA,42
BLACK PANTHER/T'CHAL,PHARAOH RAMA-TUT,6
BLACK PANTHER/T'CHAL,ANT-MAN II/SCOTT HAR,8
BLACK PANTHER/T'CHAL,LYJA LAZERFIST [SKRU,6
BLACK PANTHER/T'CHAL,GORGON [INHUMAN],14
BLACK PANTHER/T'CHAL,NIGHTHAWK II/KYLE RI,6
BLACK PANTHER/T'CHAL,"CAGE, LUKE/CARL LUCA",7
BLACK PANTHER/T'CHAL,COLOSSUS II/PETER RA,6
BLACK PANTHER/T'CHAL,HELLCAT/PATSY WALKER,8
BLACK PANTHER/T'CHAL,KARNAK [INHUMAN],13
BLACK PANTHER/T'CHAL,DEATH,5
