Id,Label
Black Panther / T'chal,Black Panther / T'chal
Loki [asgardian],Loki [asgardian]
Mantis / ? Brandt,Mantis / ? Brandt
Iceman / Robert Bobby,Iceman / Robert Bobby
Marvel Girl / Jean Grey,Marvel Girl / Jean Grey
Cyclops / Scott Summer,Cyclops / Scott Summer
Klaw / Ulysses Klaw,Klaw / Ulysses Klaw
Human Torch / Johnny S,Human Torch / Johnny S
"Richards, Franklin B","Richards, Franklin B"
Wolverine / Logan,Wolverine / Logan
Firebird / Bonita Juar,Firebird / Bonita Juar
Mr. Fantastic / Reed R,Mr. Fantastic / Reed R
Medusa / Medusalith Am,Medusa / Medusalith Am
Dr. Strange / Stephen,Dr. Strange / Stephen
Jack Of Hearts / Jack,Jack Of Hearts / Jack
Mephisto,Mephisto
Thanos,Thanos
Swordsman / Jacques Du,Swordsman / Jacques Du
Collector / Taneleer T,Collector / Taneleer T
Lockjaw [inhuman],Lockjaw [inhuman]
Sub-mariner / Namor Ma,Sub-mariner / Namor Ma
Pharaoh Rama-tut,Pharaoh Rama-tut
Ant-man Ii / Scott Har,Ant-man Ii / Scott Har
Lyja Lazerfist [skru,Lyja Lazerfist [skru
Gorgon [inhuman],Gorgon [inhuman]
Nighthawk Ii / Kyle Ri,Nighthawk Ii / Kyle Ri
"Cage, Luke / Carl Luca","Cage, Luke / Carl Luca"
Colossus Ii / Peter Ra,Colossus Ii / Peter Ra
Hellcat / Patsy Walker,Hellcat / Patsy Walker
Karnak [inhuman],Karnak [inhuman]
Death,Death
Redwing,Redwing
Daredevil / Matt Murdo,Daredevil / Matt Murdo
"Norriss, Sister Barb","Norriss, Sister Barb"
Rage / Elvin Daryl Hal,Rage / Elvin Daryl Hal
Starfox / Eros,Starfox / Eros
Demolition Man / Denni,Demolition Man / Denni
Sersi / Sylvia,Sersi / Sylvia
Spider-man / Peter Parker,Spider-man / Peter Parker
Vision,Vision
Uatu,Uatu
Binary / Carol Danvers,Binary / Carol Danvers
"Gyrich, Henry Peter","Gyrich, Henry Peter"
Nightcrawler / Kurt Wa,Nightcrawler / Kurt Wa
Angel / Warren Kenneth,Angel / Warren Kenneth
Silver Surfer / Norrin,Silver Surfer / Norrin
She-hulk / Jennifer Wa,She-hulk / Jennifer Wa
Ghaur [deviant],Ghaur [deviant]
Dr. Doom / Victor Von,Dr. Doom / Victor Von
Storm / Ororo Munroe S,Storm / Ororo Munroe S
Scarlet Witch / Wanda,Scarlet Witch / Wanda
Toad / Mortimer Toynbe,Toad / Mortimer Toynbe
Hulk / Dr. Robert Bruce Banner,Hulk / Dr. Robert Bruce Banner
Firestar / Angelica Jo,Firestar / Angelica Jo
Wonder Man / Simon Wil,Wonder Man / Simon Wil
Drax / Arthur Douglas,Drax / Arthur Douglas
"Dugan, Timothy Aloyi","Dugan, Timothy Aloyi"
"Carter, Sharon","Carter, Sharon"
Black Knight V / Dane,Black Knight V / Dane
Sunfire / Shiro Yoshid,Sunfire / Shiro Yoshid
Triton,Triton
Ultron,Ultron
"Jones, Richard Milho","Jones, Richard Milho"
Iron Man / Tony Stark,Iron Man / Tony Stark
"Nelson, Franklin Fog","Nelson, Franklin Fog"
Captain America,Captain America
"Jarvis, Edwin","Jarvis, Edwin"
Quasar Iii / Wendell V,Quasar Iii / Wendell V
"Jameson, J. Jonah","Jameson, J. Jonah"
"Masters, Alicia Reis","Masters, Alicia Reis"
Magneto / Magnus / Eric,Magneto / Magnus / Eric
Invisible Woman / Sue,Invisible Woman / Sue
Professor X / Charles,Professor X / Charles
Iron Fist / Daniel Ran,Iron Fist / Daniel Ran
Black Bolt / Blackanto,Black Bolt / Blackanto
Hawk,Hawk
Sandman / William Bake,Sandman / William Bake
Falcon / Sam Wilson,Falcon / Sam Wilson
Stingray / Dr. Walter,Stingray / Dr. Walter
Justice Ii / Vance Ast,Justice Ii / Vance Ast
Hercules [greek God],Hercules [greek God]
Usagent / Captain John,Usagent / Captain John
