Id,Label
"M'Cannell, Otway","M'Cannell, Otway"
"Zangwill, E. Ayrton","Zangwill, E. Ayrton"
"Campbell, Donald","Campbell, Donald"
"Teulon Porter, Beeban","Teulon Porter, Beeban"
"Bradford, Florence M.","Bradford, Florence M."
"Wagner, A. G.","Wagner, A. G."
"Whitby, Charles J.","Whitby, Charles J."
"Felton, John","Felton, John"
"Visiak, E. H.","Visiak, E. H."
"Radford, Margaret Maitland","Radford, Margaret Maitland"
"Spire, André","Spire, André"
P. T. T.,P. T. T.
Sappho,Sappho
R. G.,R. G.
"Willcocks, M. P.","Willcocks, M. P."
C. M.,C. M.
"Lautréamont, Comte de","Lautréamont, Comte de"
Bulteau (Madame),Bulteau (Madame)
"Bain, A. M.","Bain, A. M."
"De Gourmont, Remy","De Gourmont, Remy"
"Hare, William Loftus","Hare, William Loftus"
"Oliver, Kathlyn","Oliver, Kathlyn"
"Hunt, Chas. F.","Hunt, Chas. F."
"Kristian, Roald","Kristian, Roald"
"Johnson, Fanny","Johnson, Fanny"
Apteryx,Apteryx
"Hewson, Arthur","Hewson, Arthur"
"Compton-Rickett, Leonard A.","Compton-Rickett, Leonard A."
"Lansbury, George","Lansbury, George"
"Shanafelt, Clara","Shanafelt, Clara"
T. S. E.,T. S. E.
"Kristian, Raoul","Kristian, Raoul"
"Upward, Allen","Upward, Allen"
Herrmann Karl Georg Jesus Maria,Herrmann Karl Georg Jesus Maria
"Randolph, Mary","Randolph, Mary"
E. H. W.,E. H. W.
"Tiens Ferme""","Tiens Ferme"""
"Pound, Ezra","Pound, Ezra"
"Barry, Iris","Barry, Iris"
"Richardson, Dorothy M.","Richardson, Dorothy M."
"Kerr, R. B.","Kerr, R. B."
"Lewis, Wyndham","Lewis, Wyndham"
"Ciolkowska, Muriel","Ciolkowska, Muriel"
"Carter, Huntly","Carter, Huntly"
"von Helmholtz, Baptiste","von Helmholtz, Baptiste"
"Monroe, Harriet","Monroe, Harriet"
"Jones, Gladys","Jones, Gladys"
Saint Fiacre,Saint Fiacre
"Holley, Horace","Holley, Horace"
"O'Shea, N.","O'Shea, N."
"Glaenzer, Richard Butler","Glaenzer, Richard Butler"
"Birnstingl, Harry J.","Birnstingl, Harry J."
"Binns, Henry Bryan","Binns, Henry Bryan"
"Ed. of ""The Egoist""","Ed. of ""The Egoist"""
"Boord, Coralie M.","Boord, Coralie M."
"Granville, Charles","Granville, Charles"
"Swan, F. R. (Rev.)","Swan, F. R. (Rev.)"
"Moore, Marianne","Moore, Marianne"
Auceps,Auceps
"Dobrée, B.","Dobrée, B."
"Brodie, Mimi","Brodie, Mimi"
"Andronikoff, Natalia","Andronikoff, Natalia"
"Noguchi, Yone","Noguchi, Yone"
"Cobb, W. F. (D.D.)","Cobb, W. F. (D.D.)"
"Kauffman, Reginald Wright","Kauffman, Reginald Wright"
"Sinclair, Upton","Sinclair, Upton"
R. R. W.,R. R. W.
"Beauduin, Nicholas","Beauduin, Nicholas"
"Whitall, James","Whitall, James"
"Weston, Selwyn","Weston, Selwyn"
A Woman,A Woman
"Haughton, Amy","Haughton, Amy"
"Flecker, James Elroy","Flecker, James Elroy"
"Vulliamy, Katharine","Vulliamy, Katharine"
"Oyler, Philip","Oyler, Philip"
"Browne, F. W. Stella","Browne, F. W. Stella"
"Lawrence, D. H.","Lawrence, D. H."
F. T. S.,F. T. S.
"Lafon, André","Lafon, André"
H. S. C.,H. S. C.
H. S. W.,H. S. W.
"Graham, Rachel","Graham, Rachel"
"Montagu-Nathan, M.","Montagu-Nathan, M."
"Rouveyre, Andre","Rouveyre, Andre"
"Holmes, Mary","Holmes, Mary"
Folgore da San Gemignano,Folgore da San Gemignano
"Rodker, J.","Rodker, J."
"Goldring, Douglas","Goldring, Douglas"
"Skovgaard-Pedersen, Amy","Skovgaard-Pedersen, Amy"
"Pearce, I. D.","Pearce, I. D."
"McClure, Jack","McClure, Jack"
"Teulon Porter, Noel","Teulon Porter, Noel"
"Macdonald, Helen M.","Macdonald, Helen M."
Bloomsbury,Bloomsbury
"Joyce, James","Joyce, James"
"Hadley, Helena","Hadley, Helena"
"Woods, R. C. Fletcher","Woods, R. C. Fletcher"
A. B.,A. B.
A Reader,A Reader
"Mylius, E. F.","Mylius, E. F."
"Weaver, Harriet Shaw","Weaver, Harriet Shaw"
"Fontenelle, Bernard le Bovier de","Fontenelle, Bernard le Bovier de"
"Guthrie, Edward K.","Guthrie, Edward K."
"Kuehn, Herman","Kuehn, Herman"
"Craig, Jane","Craig, Jane"
"Vanderpyl, Fritz R.","Vanderpyl, Fritz R."
"Flügel, J. C.","Flügel, J. C."
M. E. A.,M. E. A.
J.,J.
"Milosz, O. W.","Milosz, O. W."
"Webb, Maurice","Webb, Maurice"
"Skelhorn, S.","Skelhorn, S."
"Scott, Evelyn","Scott, Evelyn"
D. M.,D. M.
"Watts, Frank","Watts, Frank"
"Tucker, Benjamin R.","Tucker, Benjamin R."
"Bodenheim, Maxwell","Bodenheim, Maxwell"
"Jouve, P. J.","Jouve, P. J."
"D'Auvergne, Edmund B.","D'Auvergne, Edmund B."
"Sologub, Feodor","Sologub, Feodor"
"Avis, Tallis","Avis, Tallis"
"Burnett, Alice C.","Burnett, Alice C."
"Gallichan, Walter M.","Gallichan, Walter M."
"Michelson, Max","Michelson, Max"
Home Worker,Home Worker
"Grierson, Francis","Grierson, Francis"
"Wells, H. G.","Wells, H. G."
"Meulen, Henry","Meulen, Henry"
"O'Robin, F.","O'Robin, F."
"Watson, E. M.","Watson, E. M."
"Herrin, Edwin","Herrin, Edwin"
"Gill, Eric","Gill, Eric"
A Protestant,A Protestant
"Hartley, C. Gasquoine","Hartley, C. Gasquoine"
"Wagstaff, Blanche Shoemaker","Wagstaff, Blanche Shoemaker"
"Jacobs, E.","Jacobs, E."
E. S. P. H.,E. S. P. H.
"Melvin, Alice","Melvin, Alice"
Educationist,Educationist
B. L.,B. L.
X,X
Mother No. 2,Mother No. 2
"Byington, Steven T.","Byington, Steven T."
"Hoyt, Helen","Hoyt, Helen"
"Donisthorpe, Wordsworth","Donisthorpe, Wordsworth"
"Symons, Arthur","Symons, Arthur"
H. D.,H. D.
"Hamilton, Helen","Hamilton, Helen"
"Langworthy, F.","Langworthy, F."
"Randolph, Stanley","Randolph, Stanley"
"Hall, Bolton","Hall, Bolton"
"Blount, Godfrey (B.A.)","Blount, Godfrey (B.A.)"
The Wife of the Man Married and Happy,The Wife of the Man Married and Happy
"Jameson, Storm","Jameson, Storm"
"Pulley, Honor M.","Pulley, Honor M."
"Browne, Edith A.","Browne, Edith A."
"Fysher, Greevz","Fysher, Greevz"
"Sartoris, C.","Sartoris, C."
E. P.,E. P.
"Harding, G. L.","Harding, G. L."
"Lowell, Amy","Lowell, Amy"
"Eliot, T. S.","Eliot, T. S."
"Horwitz, Israel","Horwitz, Israel"
"Mowrer, Edgar A.","Mowrer, Edgar A."
"Eder, M. D.","Eder, M. D."
"Warde, Julian","Warde, Julian"
"Theobald, Margaret","Theobald, Margaret"
"Swartz, Clarence Lee","Swartz, Clarence Lee"
"Leatham, Isabel","Leatham, Isabel"
"Randall, Alec W. G.","Randall, Alec W. G."
"Henry, Nancy","Henry, Nancy"
F. R. A. I.,F. R. A. I.
"Mortished, R. J. P.","Mortished, R. J. P."
"Brace, Jennie C.","Brace, Jennie C."
O. K.,O. K.
"Gaudier-Brzeska, Henri","Gaudier-Brzeska, Henri"
"Low, B.","Low, B."
A Bystander,A Bystander
"Segonzac, André Dunoyer de","Segonzac, André Dunoyer de"
K'ung the Master,K'ung the Master
"Drysdale, Charles V.","Drysdale, Charles V."
"Rodker, John","Rodker, John"
"Flint, F. S.","Flint, F. S."
"Cannéll, Skipwith","Cannéll, Skipwith"
The Chancellor,The Chancellor
"Weininger, Otto","Weininger, Otto"
"Simmons, T. Bayard","Simmons, T. Bayard"
"Baty, T.","Baty, T."
Drysdale (Dr.),Drysdale (Dr.)
"Prewett, Frances","Prewett, Frances"
"Hueffer, Ford Maddox","Hueffer, Ford Maddox"
"Chew, Ada Nield","Chew, Ada Nield"
"Wearne, Virginia K.","Wearne, Virginia K."
"Groff, Alice","Groff, Alice"
"Hilton, John","Hilton, John"
"Norman, C. H.","Norman, C. H."
"Gawthorpe, Mary","Gawthorpe, Mary"
"Tayleur, Richard","Tayleur, Richard"
"Scott, K. D.","Scott, K. D."
"Morgan, E. Noel","Morgan, E. Noel"
"Williams, William Carlos","Williams, William Carlos"
"Wright, Josephine","Wright, Josephine"
"Altenberg, Peter","Altenberg, Peter"
"Baker, Josephine","Baker, Josephine"
"Lewis, Arthur D.","Lewis, Arthur D."
"Read, Herbert","Read, Herbert"
P. W.,P. W.
Various Hands,Various Hands
"Higgs, Mary","Higgs, Mary"
"De Bosschère, Jean","De Bosschère, Jean"
"Sinclair, May","Sinclair, May"
"Kitson, Arthur","Kitson, Arthur"
"Murray, Mary Neilson","Murray, Mary Neilson"
"Marsden, Dora","Marsden, Dora"
"Flaminio, Marco Antonio","Flaminio, Marco Antonio"
"Marriott, Ernest","Marriott, Ernest"
"Drysdale, Bessie","Drysdale, Bessie"
M. de V.-M.,M. de V.-M.
"von Helmholtz, Bastien","von Helmholtz, Bastien"
"Rubinstein, H. F.","Rubinstein, H. F."
"Cournos, John","Cournos, John"
"Melville, Lewis","Melville, Lewis"
"Hindshaw, Winifred","Hindshaw, Winifred"
"Aldred, Guy A.","Aldred, Guy A."
M. C.,M. C.
"Hatfield, H. Stafford","Hatfield, H. Stafford"
"Clark, Helen Gordon (M.D.)","Clark, Helen Gordon (M.D.)"
C. S. H.,C. S. H.
"Harpur, Caldwell","Harpur, Caldwell"
"Durak, B.","Durak, B."
A New Subscriber,A New Subscriber
"Defries, Amelia","Defries, Amelia"
"Fletcher, John Gould","Fletcher, John Gould"
"Henry, Leigh","Henry, Leigh"
"Carey, Winifred Rose","Carey, Winifred Rose"
"Haynes, E. S. P.","Haynes, E. S. P."
M. A. F.,M. A. F.
"Sherwen, P.","Sherwen, P."
"Mallon, J. J.","Mallon, J. J."
"Gregg, Frances","Gregg, Frances"
"Gaskell, Ellen S.","Gaskell, Ellen S."
"West, Rebecca","West, Rebecca"
F. M. P.,F. M. P.
"Pulley, H. M.","Pulley, H. M."
"Monro, Harold","Monro, Harold"
"Storer, Edward","Storer, Edward"
"Gerrare, W.","Gerrare, W."
"Boyd, Ernest A.","Boyd, Ernest A."
"Lafitte, Françoise","Lafitte, Françoise"
A. F.,A. F.
M. S.,M. S.
"Chapman, Dorothy","Chapman, Dorothy"
"Thomas, Louis","Thomas, Louis"
"Collins, Fred","Collins, Fred"
R. A.,R. A.
"Sitwell, Sacheverell","Sitwell, Sacheverell"
"Schvan, August","Schvan, August"
"Aldington, Richard","Aldington, Richard"
"Robinson, Rona (M.Sc.)","Robinson, Rona (M.Sc.)"
"Ed. of ""The New Freewoman""","Ed. of ""The New Freewoman"""
"Jameson, Margaret Storm","Jameson, Margaret Storm"
"Wrench, G. T.","Wrench, G. T."
"Pender, R. Herdman","Pender, R. Herdman"
B. A. S.,B. A. S.
"Ed. of ""The Freewoman""","Ed. of ""The Freewoman"""
"Cros, Guy-Charles","Cros, Guy-Charles"
"Macdonald, W. A.","Macdonald, W. A."
"Billington-Greig, Teresa","Billington-Greig, Teresa"
"Foss, William","Foss, William"
