Id,Label
"Moody, William Vaughn","Moody, William Vaughn"
"Baker, Karle Wilson","Baker, Karle Wilson"
C. Z.,C. Z.
"Hunt, Violet","Hunt, Violet"
"Harris, Frank","Harris, Frank"
"Torrence, Ridgely","Torrence, Ridgely"
"Lindsay, Nicholas Vachel","Lindsay, Nicholas Vachel"
M. B.,M. B.
"Heller, Helen West","Heller, Helen West"
F. E. R.,F. E. R.
"Robinson, Edwin Arlington","Robinson, Edwin Arlington"
"Rivola, Flora Shufelt","Rivola, Flora Shufelt"
"Powys, John Cowper","Powys, John Cowper"
"Sherry, Laura","Sherry, Laura"
"Davies, Mary Carolyn","Davies, Mary Carolyn"
"Grudin, Louis","Grudin, Louis"
"Hecht, Ben","Hecht, Ben"
"Johnson, Fenton","Johnson, Fenton"
"Vielé-Griffin, Francis","Vielé-Griffin, Francis"
"Laird, William","Laird, William"
"Sitwell, Osbert","Sitwell, Osbert"
"Catel, Jean","Catel, Jean"
"Unna, Sarah","Unna, Sarah"
"Anderson, Sherwood","Anderson, Sherwood"
"Dell, Floyd","Dell, Floyd"
"Ciolkowska, Muriel","Ciolkowska, Muriel"
"Galahad, Joseph Andrew","Galahad, Joseph Andrew"
"Loving, Pierre","Loving, Pierre"
"Tanaquil, Paul","Tanaquil, Paul"
"Jones, Llewellyn","Jones, Llewellyn"
"Simon, Anne","Simon, Anne"
"Bernhard, Svea","Bernhard, Svea"
"Burke, Kenneth","Burke, Kenneth"
"Winters, A. Y.","Winters, A. Y."
"Mixter, Florence K.","Mixter, Florence K."
"Pound, Ezra","Pound, Ezra"
"Piper, Edwin Ford","Piper, Edwin Ford"
"Twitchell, Anna Spencer","Twitchell, Anna Spencer"
"Lewis, Wyndham","Lewis, Wyndham"
"Peyton, John R. C.","Peyton, John R. C."
"Jones, Howard Mumford","Jones, Howard Mumford"
"Trench, Herbert","Trench, Herbert"
"Carter, Huntly","Carter, Huntly"
"Lindsay, Vachel","Lindsay, Vachel"
"Stone, Lee A.","Stone, Lee A."
"Kilmer, Aline","Kilmer, Aline"
"Kreymborg, Alfred","Kreymborg, Alfred"
"Conkling, Grace Hazard","Conkling, Grace Hazard"
"Austin, Mary","Austin, Mary"
"Hartley, Marsden","Hartley, Marsden"
"Masseck, Clinton","Masseck, Clinton"
"Hueffer, Ford Maddox","Hueffer, Ford Maddox"
"Rhys, Ernest","Rhys, Ernest"
"Stephens, James","Stephens, James"
"Davis, Fannie Stearns","Davis, Fannie Stearns"
Wang Wei,Wang Wei
"Webb, Winifred","Webb, Winifred"
"Damon, S. Foster","Damon, S. Foster"
D. C. W.,D. C. W.
"Buzzell, Francis","Buzzell, Francis"
"Lowell, Amy","Lowell, Amy"
"Sell, Henry Blackman","Sell, Henry Blackman"
N. A. C.,N. A. C.
"Cromwell, Gladys","Cromwell, Gladys"
"de la Mare, Walter","de la Mare, Walter"
"O'Donnell, Charles L.","O'Donnell, Charles L."
"Nietzsche, Friedrich","Nietzsche, Friedrich"
"Bryher, W.","Bryher, W."
"Hudson, Stephen","Hudson, Stephen"
"von Freytag-Loringhoven, Elsa (Baroness)","von Freytag-Loringhoven, Elsa (Baroness)"
"Livesay, Florence Randal","Livesay, Florence Randal"
R.,R.
"Ridge, Lola","Ridge, Lola"
"Drinkwater, John","Drinkwater, John"
"Flint, F. S.","Flint, F. S."
"Bauer, Harold","Bauer, Harold"
"Joyce, James","Joyce, James"
"Kandinsky, Wassily","Kandinsky, Wassily"
"Murphy, Charles R.","Murphy, Charles R."
"Thorp, N. Howard","Thorp, N. Howard"
"Monro, Harold","Monro, Harold"
Christian,Christian
"Holden, Raymond","Holden, Raymond"
"Speyer, Leonora","Speyer, Leonora"
"Corbin, Alice","Corbin, Alice"
"Shanks, E. Buxton","Shanks, E. Buxton"
"Reiss, Robert","Reiss, Robert"
"Whitman, Walt","Whitman, Walt"
"Manning, Frederic","Manning, Frederic"
"McClure, John","McClure, John"
"Goethe, Johann Wolfgang von","Goethe, Johann Wolfgang von"
"Gilbert, Morris","Gilbert, Morris"
"Widdemer, Margaret","Widdemer, Margaret"
"Cann, Louise Gebhard","Cann, Louise Gebhard"
"Wood, Clement","Wood, Clement"
"Wing, DeWitt C.","Wing, DeWitt C."
"Gordon, Frank S.","Gordon, Frank S."
"Iverson, Sade","Iverson, Sade"
"Golding, Louis","Golding, Louis"
"Norton, Grace Fallow","Norton, Grace Fallow"
"McAlmon, Robert","McAlmon, Robert"
"Aber, Loureine","Aber, Loureine"
M. H. P.,M. H. P.
"Cook, Harold","Cook, Harold"
"Brandes, George","Brandes, George"
"Rolland, Romain","Rolland, Romain"
"Hutchinson, Eugene","Hutchinson, Eugene"
"Winters, Yvor","Winters, Yvor"
"Puteklis, Louis","Puteklis, Louis"
"Howard, Katherine","Howard, Katherine"
"Millay, Edna St. Vincent","Millay, Edna St. Vincent"
"De Braila, Lupo","De Braila, Lupo"
"Swawite, Marguerite","Swawite, Marguerite"
"Davis, H. L.","Davis, H. L."
"Stewart, H. W.","Stewart, H. W."
"Ashleigh, Charles","Ashleigh, Charles"
"Meeker, Marjorie","Meeker, Marjorie"
"Currey, Margery","Currey, Margery"
Kiang Kang-Hu,Kiang Kang-Hu
"Robinson, Eloise","Robinson, Eloise"
"Cocteau, Jean","Cocteau, Jean"
H. D.,H. D.
"Lee, Muna","Lee, Muna"
"Cowan, Sada","Cowan, Sada"
"Stuart, Muriel","Stuart, Muriel"
"Cheyne, Elizabeth Gibson","Cheyne, Elizabeth Gibson"
"Bangs, Janet Norris","Bangs, Janet Norris"
"Soule, George","Soule, George"
G. S.,G. S.
"Brooke, Rupert","Brooke, Rupert"
"Ryan, Kathryn White","Ryan, Kathryn White"
"Morton, David","Morton, David"
"Smith, Clark Ashton","Smith, Clark Ashton"
"Eddy, Lucy","Eddy, Lucy"
"Jepson, Edgar","Jepson, Edgar"
A. S.,A. S.
"Crawford, John","Crawford, John"
"Akins, Zoë","Akins, Zoë"
"Conkling, Hilda","Conkling, Hilda"
"Barnes, Djuna","Barnes, Djuna"
"Rodker, John","Rodker, John"
