Source,Target,Weight,Relationship,Citation
Paul Teller,Donald J. Trump,1,Special assistant,https://www.documentcloud.org/documents/3534342-Teller-Paul.html
Donald J. Trump,Joe Hagin,1,Deputy chief of staff for operations,http://www.cnn.com/2017/01/04/politics/bill-stepien-chris-christie-donald-trump-white-house/
Donald J. Trump,Kellyanne Conway,1,White House Counselor,General knowledge
Donald J. Trump,Wilbur Ross,1,Secretary of Commerce,General knowledge
Donald J. Trump,George E. Norcross Iii,1,"""whose friendship with Mr. Trump dates to the president’s Atlantic City years,"" per the New York Times",https://www.nytimes.com/2017/02/18/us/mar-a-lago-trump-ethics-winter-white-house.html?_r=0
Donald J. Trump,Jared Kushner,1,Senior adviser,https://www.washingtonpost.com/news/post-politics/wp/2017/01/09/tumps-son-in-law-jared-kushner-expected-to-join-white-house-as-a-senior-adviser/?utm_term=.a3958e1d3829
Donald J. Trump,Stephen A. Schwarzman,1,Chair of Trump's Strategic and Policy forum,http://fortune.com/2016/12/14/donald-trump-musk-kalanick-nooyi/
Donald J. Trump,David Shulkin,1,Secretary of Veterans Affairs,http://www.usnews.com/news/national-news/articles/2017-02-09/10-things-you-didnt-know-about-david-shulkin
Donald J. Trump,James Sherk,1,White House Domestic Policy Council labor and employment advisor,https://www.bna.com/trumps-new-labor-n57982084346/
Donald J. Trump,Brian Baudreau,1,Former driver,https://www.nytimes.com/2016/12/25/us/politics/trump-organization-business.html?_r=0
Donald J. Trump,Sean Hannity,1,"A top touchstone outside the White House, according to the New York Times",https://www.nytimes.com/2017/04/22/us/politics/donald-trump-white-house.html?_r=1
Donald J. Trump,Robert Goad,1,Special assistant,https://www.documentcloud.org/documents/3534080-Goad-Robert.html
Donald J. Trump,Steven N. Cheung,1,Assistant communications director,https://www.documentcloud.org/documents/3534333-Cheung-Steven-N.html
Donald J. Trump,Bill Stepien,1,White House political director,http://www.cnn.com/2017/01/04/politics/bill-stepien-chris-christie-donald-trump-white-house/
Donald J. Trump,Ajit Pai,1,Appointed chairman of the Federal Communications Commission,http://www.usatoday.com/story/tech/news/2017/01/23/new-fcc-chairman-ajit-pai-no-net-neutrality-fan/96967372/
