Id,Label
PAUL TELLER,PAUL TELLER
DONALD J. TRUMP,DONALD J. TRUMP
DAVID S. CORDISH,DAVID S. CORDISH
REED S. CORDISH,REED S. CORDISH
CUI TIANKAI,CUI TIANKAI
JARED KUSHNER,JARED KUSHNER
HOPE HICKS,HOPE HICKS
ANDREW D. KOENIG,ANDREW D. KOENIG
JOSEPH LAI,JOSEPH LAI
NOEL FRANCISCO,NOEL FRANCISCO
CHARLES G. KOCH,CHARLES G. KOCH
WILLIAM I. KOCH,WILLIAM I. KOCH
MARC SHORT,MARC SHORT
DAVID H. KOCH,DAVID H. KOCH
NIKKI HALEY,NIKKI HALEY
JOHN DESTEFANO,JOHN DESTEFANO
CHLOE MURDOCH,CHLOE MURDOCH
IVANKA TRUMP,IVANKA TRUMP
RUPERT MURDOCH,RUPERT MURDOCH
WENDI DENG MURDOCH,WENDI DENG MURDOCH
SCOTT GAST,SCOTT GAST
BRAD PARSCALE,BRAD PARSCALE
ALEXANDER NIX,ALEXANDER NIX
STEPHEN VADEN,STEPHEN VADEN
SONNY PERDUE,SONNY PERDUE
CARLOS DIAZ-ROSILLO,CARLOS DIAZ-ROSILLO
SHERI A. DILLON,SHERI A. DILLON
PETER THIEL,PETER THIEL
KEITH SCHILLER,KEITH SCHILLER
SERHIY LYOVOCHKIN,SERHIY LYOVOCHKIN
PAUL MANAFORT,PAUL MANAFORT
MARYANNE TRUMP BARRY,MARYANNE TRUMP BARRY
KEVIN MARINO,KEVIN MARINO
GARY COHN,GARY COHN
ANTHONY SCARAMUCCI,ANTHONY SCARAMUCCI
KIRILL DMITRIEV,KIRILL DMITRIEV
ROBERT A. IGER,ROBERT A. IGER
ALEXANDER GRAY,ALEXANDER GRAY
REBEKAH MERCER,REBEKAH MERCER
ROBERT MERCER,ROBERT MERCER
SYLVAIN MIROCHNIKOFF,SYLVAIN MIROCHNIKOFF
STEPHEN BANNON,STEPHEN BANNON
KELLYANNE CONWAY,KELLYANNE CONWAY
RUDY GIULIANI,RUDY GIULIANI
WILBUR ROSS,WILBUR ROSS
KEN KURSON,KEN KURSON
ALAN HAMMER,ALAN HAMMER
CHARLES KUSHNER,CHARLES KUSHNER
MARY T. BARRA,MARY T. BARRA
GRACE MURDOCH,GRACE MURDOCH
SALLY PRIEBUS,SALLY PRIEBUS
REINCE PRIEBUS,REINCE PRIEBUS
SCOTT WALKER,SCOTT WALKER
ANDREW BREMBERG,ANDREW BREMBERG
JULIAN ASSANGE,JULIAN ASSANGE
"ROGER J. STONE, JR.","ROGER J. STONE, JR."
ALBERT ROSS SR.,ALBERT ROSS SR.
OMAROSÉ ONEE MANIGAULT,OMAROSÉ ONEE MANIGAULT
SEBASTIAN GORKA,SEBASTIAN GORKA
"RICHARD MARVIN ""DICK"" DEVOS JR.","RICHARD MARVIN ""DICK"" DEVOS JR."
BETSY DEVOS,BETSY DEVOS
MIKE PENCE,MIKE PENCE
MARC LOTTER,MARC LOTTER
JARROD P. AGEN,JARROD P. AGEN
JOSH PITCOCK,JOSH PITCOCK
MARTY OBST,MARTY OBST
SARAH MAKIN,SARAH MAKIN
NICK AYERS,NICK AYERS
RYAN JARMULA,RYAN JARMULA
RUSS VOUGHT,RUSS VOUGHT
THOMAS E. WHEELER,THOMAS E. WHEELER
JEN PAVLIK,JEN PAVLIK
JOHN GRAY,JOHN GRAY
STRAUSS ZELNICK,STRAUSS ZELNICK
LINDA BEAN,LINDA BEAN
STEVEN MNUCHIN,STEVEN MNUCHIN
EDWARD LAMPERT,EDWARD LAMPERT
GEORGE SOROS,GEORGE SOROS
BENJAMIN NETANYAHU,BENJAMIN NETANYAHU
RICHARD LEFRAK,RICHARD LEFRAK
STEPHEN MUNISTERI,STEPHEN MUNISTERI
JAMES SCHULTZ,JAMES SCHULTZ
GERRIT LANSING,GERRIT LANSING
ERIC TRUMP,ERIC TRUMP
DONALD TRUMP JR.,DONALD TRUMP JR.
FELIPE YARYURA,FELIPE YARYURA
CINDY SIMMS,CINDY SIMMS
RICHARD GOETTLICH,RICHARD GOETTLICH
DON MCGAHN,DON MCGAHN
JAMES BURNHAM,JAMES BURNHAM
BLAKE DELAPLANE,BLAKE DELAPLANE
SHANNON MCGAHN,SHANNON MCGAHN
ANNIE DONALDSON,ANNIE DONALDSON
GREG KATSAS,GREG KATSAS
DAVID MORRELL,DAVID MORRELL
AARON SCHOCK,AARON SCHOCK
ANDY PUZDER,ANDY PUZDER
WILLIAM P. FOLEY,WILLIAM P. FOLEY
HAROLD G. HAMM,HAROLD G. HAMM
SCOTT PRUITT,SCOTT PRUITT
JESSICA DITTO,JESSICA DITTO
MATTHEW GRISWOLD BEVIN,MATTHEW GRISWOLD BEVIN
SERGEY I. KISLYAK,SERGEY I. KISLYAK
CATHERINE BRAY GRIFFITH,CATHERINE BRAY GRIFFITH
WELLS GRIFFITH,WELLS GRIFFITH
CHRISTINE CHAO,CHRISTINE CHAO
JAMES S.C. CHAO,JAMES S.C. CHAO
ELAINE CHAO,ELAINE CHAO
GEORGE T. CONWAY III,GEORGE T. CONWAY III
ALEX SHNAIDER,ALEX SHNAIDER
ERIK PRINCE,ERIK PRINCE
JENNIFER MERCER,JENNIFER MERCER
JULIA HAHN,JULIA HAHN
PATRICK CADDELL,PATRICK CADDELL
ANGELA CHAO,ANGELA CHAO
"WALTER J. ""JAY"" CLAYTON III","WALTER J. ""JAY"" CLAYTON III"
ROGER KHAFIF,ROGER KHAFIF
PAUL WINFREE,PAUL WINFREE
YURY ZAYTSEV,YURY ZAYTSEV
SERGEI MILLIAN,SERGEI MILLIAN
JACK WEISSELBERG,JACK WEISSELBERG
ALLEN WEISSELBERG,ALLEN WEISSELBERG
XI JINPING,XI JINPING
TERRY BRANSTAD,TERRY BRANSTAD
BORIS EPSHTEYN,BORIS EPSHTEYN
JOHN GORE,JOHN GORE
JEFF SESSIONS,JEFF SESSIONS
BETHANY SCULLY,BETHANY SCULLY
IKE PERLMUTTER,IKE PERLMUTTER
ESTHER KUSHNER,ESTHER KUSHNER
SERYL KUSHNER,SERYL KUSHNER
NICOLE KUSHNER MEYER,NICOLE KUSHNER MEYER
JOSHUA KUSHNER,JOSHUA KUSHNER
JIM MCGREEVEY,JIM MCGREEVEY
MURRAY KUSHNER,MURRAY KUSHNER
DARA ORBACH,DARA ORBACH
BOB DOLE,BOB DOLE
ROBERT LIGHTHIZER,ROBERT LIGHTHIZER
STEVEN ROTH,STEVEN ROTH
RECEP TAYYIP ERDOGAN,RECEP TAYYIP ERDOGAN
BEN CARSON,BEN CARSON
BARRY BENNETT,BARRY BENNETT
DMYTRO FIRTASH,DMYTRO FIRTASH
PAM MULVANEY,PAM MULVANEY
MICK MULVANEY,MICK MULVANEY
GEORGE GIGICOS,GEORGE GIGICOS
MITCH MCCONNELL,MITCH MCCONNELL
W.E.“ED” BOSARGE,W.E.“ED” BOSARGE
H. B. HICKS,H. B. HICKS
MADELEINE WESTERHOUT,MADELEINE WESTERHOUT
RHONA GRAFF RICCIO,RHONA GRAFF RICCIO
SEAN CAIRNCROSS,SEAN CAIRNCROSS
JOSEPH HAGIN,JOSEPH HAGIN
STEPHEN A. FEINBERG,STEPHEN A. FEINBERG
TOM PRICE,TOM PRICE
LUCIUS JOSEPH RICCIO,LUCIUS JOSEPH RICCIO
BERNARD R. DIAMOND,BERNARD R. DIAMOND
JOSEPH MEYER,JOSEPH MEYER
RICK PERRY,RICK PERRY
ANITA THIGPEN PERRY,ANITA THIGPEN PERRY
PETER HOLT,PETER HOLT
JUSTIN CLARK,JUSTIN CLARK
LINDSAY WALTERS,LINDSAY WALTERS
NICOLAS SARKOZY,NICOLAS SARKOZY
THOMAS J. BARRACK JR.,THOMAS J. BARRACK JR.
VINCE HALEY,VINCE HALEY
DAVID M. FRIEDMAN,DAVID M. FRIEDMAN
JAMES MATTIS,JAMES MATTIS
ROSS WORTHINGTON,ROSS WORTHINGTON
ARTHUR G. COHEN,ARTHUR G. COHEN
ROBERT KRAFT,ROBERT KRAFT
KALPESH MEHTA,KALPESH MEHTA
AYDIN DOGAN,AYDIN DOGAN
MEHMET ALI YALCINDAG,MEHMET ALI YALCINDAG
PETER NAVARRO,PETER NAVARRO
KATHLEEN TROIA MCFARLAND,KATHLEEN TROIA MCFARLAND
MILES BERGER,MILES BERGER
MICHAEL D. COHEN,MICHAEL D. COHEN
GINNI ROMETTY,GINNI ROMETTY
STEPHANIE GRISHAM,STEPHANIE GRISHAM
VLADIMIR PUTIN,VLADIMIR PUTIN
LEV LEVIEV,LEV LEVIEV
MARTIN SORRELL,MARTIN SORRELL
SEAN SPICER,SEAN SPICER
MANGAL PRABHAT LODHA,MANGAL PRABHAT LODHA
