Id,Label
BLACK PANTHER/T'CHAL,BLACK PANTHER/T'CHAL
LOKI [ASGARDIAN],LOKI [ASGARDIAN]
MANTIS/? BRANDT,MANTIS/? BRANDT
ICEMAN/ROBERT BOBBY,ICEMAN/ROBERT BOBBY
MARVEL GIRL/JEAN GRE,MARVEL GIRL/JEAN GRE
CYCLOPS/SCOTT SUMMER,CYCLOPS/SCOTT SUMMER
KLAW/ULYSSES KLAW,KLAW/ULYSSES KLAW
HUMAN TORCH/JOHNNY S,HUMAN TORCH/JOHNNY S
"RICHARDS, FRANKLIN B","RICHARDS, FRANKLIN B"
WOLVERINE/LOGAN,WOLVERINE/LOGAN
FIREBIRD/BONITA JUAR,FIREBIRD/BONITA JUAR
MR. FANTASTIC/REED R,MR. FANTASTIC/REED R
MEDUSA/MEDUSALITH AM,MEDUSA/MEDUSALITH AM
DR. STRANGE/STEPHEN,DR. STRANGE/STEPHEN
JACK OF HEARTS/JACK,JACK OF HEARTS/JACK
MEPHISTO,MEPHISTO
THANOS,THANOS
SWORDSMAN/JACQUES DU,SWORDSMAN/JACQUES DU
COLLECTOR/TANELEER T,COLLECTOR/TANELEER T
LOCKJAW [INHUMAN],LOCKJAW [INHUMAN]
SUB-MARINER/NAMOR MA,SUB-MARINER/NAMOR MA
PHARAOH RAMA-TUT,PHARAOH RAMA-TUT
ANT-MAN II/SCOTT HAR,ANT-MAN II/SCOTT HAR
LYJA LAZERFIST [SKRU,LYJA LAZERFIST [SKRU
GORGON [INHUMAN],GORGON [INHUMAN]
NIGHTHAWK II/KYLE RI,NIGHTHAWK II/KYLE RI
"CAGE, LUKE/CARL LUCA","CAGE, LUKE/CARL LUCA"
COLOSSUS II/PETER RA,COLOSSUS II/PETER RA
HELLCAT/PATSY WALKER,HELLCAT/PATSY WALKER
KARNAK [INHUMAN],KARNAK [INHUMAN]
DEATH,DEATH
REDWING,REDWING
DAREDEVIL/MATT MURDO,DAREDEVIL/MATT MURDO
"NORRISS, SISTER BARB","NORRISS, SISTER BARB"
RAGE/ELVIN DARYL HAL,RAGE/ELVIN DARYL HAL
STARFOX/EROS,STARFOX/EROS
DEMOLITION MAN/DENNI,DEMOLITION MAN/DENNI
SERSI/SYLVIA,SERSI/SYLVIA
SPIDER-MAN/PETER PAR,SPIDER-MAN/PETER PAR
VISION,VISION
UATU,UATU
BINARY/CAROL DANVERS,BINARY/CAROL DANVERS
"GYRICH, HENRY PETER","GYRICH, HENRY PETER"
NIGHTCRAWLER/KURT WA,NIGHTCRAWLER/KURT WA
ANGEL/WARREN KENNETH,ANGEL/WARREN KENNETH
SILVER SURFER/NORRIN,SILVER SURFER/NORRIN
SHE-HULK/JENNIFER WA,SHE-HULK/JENNIFER WA
GHAUR [DEVIANT],GHAUR [DEVIANT]
DR. DOOM/VICTOR VON,DR. DOOM/VICTOR VON
STORM/ORORO MUNROE S,STORM/ORORO MUNROE S
SCARLET WITCH/WANDA,SCARLET WITCH/WANDA
TOAD/MORTIMER TOYNBE,TOAD/MORTIMER TOYNBE
HULK/DR. ROBERT BRUC,HULK/DR. ROBERT BRUC
FIRESTAR/ANGELICA JO,FIRESTAR/ANGELICA JO
WONDER MAN/SIMON WIL,WONDER MAN/SIMON WIL
DRAX/ARTHUR DOUGLAS,DRAX/ARTHUR DOUGLAS
"DUGAN, TIMOTHY ALOYI","DUGAN, TIMOTHY ALOYI"
"CARTER, SHARON","CARTER, SHARON"
BLACK KNIGHT V/DANE,BLACK KNIGHT V/DANE
SUNFIRE/SHIRO YOSHID,SUNFIRE/SHIRO YOSHID
TRITON,TRITON
ULTRON,ULTRON
"JONES, RICHARD MILHO","JONES, RICHARD MILHO"
IRON MAN/TONY STARK,IRON MAN/TONY STARK
"NELSON, FRANKLIN FOG","NELSON, FRANKLIN FOG"
CAPTAIN AMERICA,CAPTAIN AMERICA
"JARVIS, EDWIN","JARVIS, EDWIN"
QUASAR III/WENDELL V,QUASAR III/WENDELL V
