Source,Target,Type,Id,Weight
"DuBois, W. E. B.","Du Bois, W. E. B.",Undirected,505,3
"DuBois, W. E. B.","Allison, Madeline G.",Undirected,485,3
"DuBois, W. E. B.","Adams, John Henry",Undirected,477,2
"DuBois, W. E. B.","White, Walter F.",Undirected,470,2
"Stoddard, Yetta Kay","Allison, Madeline G.",Undirected,733,2
"Stoddard, Yetta Kay","Du Bois, W. E. B.",Undirected,719,2
"Brawley, Benjamin","Chesnutt, Charles W.",Undirected,831,2
"Brawley, Benjamin","Watkins, Lucian B.",Undirected,830,2
"Schomburg, Arthur A.","Villard, Oswald Garrison",Undirected,1046,2
"Schomburg, Arthur A.","Dickerman, G. S.",Undirected,1020,2
"Du Bois, W. E. B.","Ovington, Mary White",Undirected,1354,4
"Du Bois, W. E. B.","Russell, Charles Edward",Undirected,1349,3
"Du Bois, W. E. B.","Hill, Leslie Pinckney",Undirected,1348,3
"Du Bois, W. E. B.",J. F.,Undirected,1346,2
"Du Bois, W. E. B.","Villard, Oswald Garrison",Undirected,1344,2
"Du Bois, W. E. B.","Allison, M. G.",Undirected,1341,2
"Du Bois, W. E. B.","Hershaw, L. M.",Undirected,1339,2
"Du Bois, W. E. B.","Cullen, Countee P.",Undirected,1323,2
"Du Bois, W. E. B.","Pendleton, Leila Amos",Undirected,1322,2
"Du Bois, W. E. B.","Saunders, Vincent",Undirected,1319,9
"Du Bois, W. E. B.","Toomer, Jean",Undirected,1317,2
"Du Bois, W. E. B.","DuBois, W. E. Burghardt",Undirected,1314,3
"Du Bois, W. E. B.","Bentley, Florence Lewis",Undirected,1313,3
"Du Bois, W. E. B.","Wilkinson, Hilda",Undirected,1305,2
"Du Bois, W. E. B.","Johnson, Georgia Douglass",Undirected,1301,2
"Du Bois, W. E. B.","Adams, John Henry",Undirected,1286,4
"Du Bois, W. E. B.","Cotter, Joseph S.",Undirected,1284,2
"Du Bois, W. E. B.","Murray, Ella Rush",Undirected,1283,2
"Du Bois, W. E. B.","Johnson, James Weldon",Undirected,1270,5
"Du Bois, W. E. B.","Bagnall, Robert W.",Undirected,1265,2
"Du Bois, W. E. B.","Francique, John",Undirected,1260,2
"Du Bois, W. E. B.","Spingarn, J. E.",Undirected,1243,2
"Du Bois, W. E. B.","Richardson, Willis",Undirected,1241,2
"Du Bois, W. E. B.","Smith, Albert A.",Undirected,1238,2
"Du Bois, W. E. B.","Jordan, Winifred Virginia",Undirected,1236,4
"Du Bois, W. E. B.","Newsome, Mary Effie Lee",Undirected,1229,2
"Du Bois, W. E. B.","Smith, Albert",Undirected,1226,2
"Du Bois, W. E. B.","Walts, Frank",Undirected,1211,6
"Du Bois, W. E. B.","Burch, Charles Eaton",Undirected,1204,2
"Du Bois, W. E. B.","Fauset, Jessie",Undirected,1200,27
"Du Bois, W. E. B.","Jones, Scipio",Undirected,1194,2
"Du Bois, W. E. B.","Battey, C. M.",Undirected,1190,4
"Du Bois, W. E. B.",Underwood &amp; Underwood,Undirected,1187,2
"Du Bois, W. E. B.","Moravsky, Maria",Undirected,1182,2
"Du Bois, W. E. B.","Pickens, William",Undirected,1178,4
"Du Bois, W. E. B.","Bagnall, R. W.",Undirected,1174,2
"Du Bois, W. E. B.","Johnson, Charles Bertram",Undirected,1172,5
"Du Bois, W. E. B.","White, Walter F.",Undirected,1166,3
"Du Bois, W. E. B.","Canfield, Dorothy",Undirected,1162,2
"Du Bois, W. E. B.","Hughes, Langston",Undirected,1157,11
"Du Bois, W. E. B.","Clifford, Carrie W.",Undirected,1149,2
"Du Bois, W. E. B.","Wheeler, Laura",Undirected,1148,10
"Du Bois, W. E. B.","Spencer, Anne",Undirected,1137,2
"Du Bois, W. E. B.","Wilkinson, Hilda Rue",Undirected,1130,4
"Du Bois, W. E. B.","Fawcett, James Waldo",Undirected,1124,3
"Du Bois, W. E. B.","Newsome, Effie Lee",Undirected,1117,4
"Du Bois, W. E. B.","Allison, Madeline G.",Undirected,1116,37
"Du Bois, W. E. B.","Brown, Richard L.",Undirected,1113,2
"Du Bois, W. E. B.","Lee, Mary Effie",Undirected,1109,3
"Du Bois, W. E. B.","Braithwaite, William Stanley",Undirected,1107,2
"Du Bois, W. E. B.","McKay, Claude",Undirected,1102,2
"Du Bois, W. E. B.","Johnson, Georgia Douglas",Undirected,1094,4
"Spencer, Anne","Allison, Madeline G.",Undirected,1413,2
"Spencer, Anne","Walts, Frank",Undirected,1412,2
"Lindsay, Nicholas Vachel","Spingarn, J. E.",Undirected,1586,2
"Koch, Felix J.","Johnson, Georgia Douglas",Undirected,2000,2
"Addams, Jane","Adams, John Henry",Undirected,2028,2
"Smith, Albert","Allison, Madeline G.",Undirected,2143,2
"Jordan, Winifred Virginia","Allison, Madeline G.",Undirected,2304,4
"Jordan, Winifred Virginia","Allison, M. G.",Undirected,2286,2
"Walts, Frank","Holmes, John Haynes",Undirected,2407,2
"Walts, Frank","Fauset, Jessie",Undirected,2405,2
"Walts, Frank","Wilkinson, Hilda",Undirected,2383,2
"Walts, Frank","Wheeler, Laura",Undirected,2372,4
"Walts, Frank","Allison, Madeline G.",Undirected,2358,3
"Walts, Frank","White, Walter F.",Undirected,2339,2
"Battey, C. M.","Fauset, Jessie",Undirected,2503,2
"Battey, C. M.","Harris, Lorenzo",Undirected,2500,2
"Battey, C. M.","Wheeler, Laura",Undirected,2478,2
"Battey, C. M.","Allison, Madeline G.",Undirected,2461,3
"Corrothers, James D.","Harris, Lorenzo",Undirected,2572,2
"Corrothers, James D.","Johnson, Fenton",Undirected,2559,2
"Milholland, John E. (Mrs.)","Adams, John Henry",Undirected,2648,5
"Johnson, James Weldon","Wheeler, Laura",Undirected,2892,2
"Johnson, James Weldon","Fauset, Jessie",Undirected,2883,2
"Johnson, James Weldon","Hughes, Langston",Undirected,2870,2
"Johnson, James Weldon","Allison, Madeline G.",Undirected,2844,4
"Adams, John Henry","Villard, Oswald Garrison",Undirected,3041,3
"Adams, John Henry","Fauset, Jessie",Undirected,3039,6
"Adams, John Henry","Hill, Leslie Pinckney",Undirected,3034,2
"Adams, John Henry","Allison, Madeline G.",Undirected,3033,3
"Adams, John Henry","Hershaw, L. M.",Undirected,3030,3
"Johnson, Georgia Douglass","Allison, Madeline G.",Undirected,3198,2
"Allison, M. G.","Allison, Madeline G.",Undirected,3444,2
"Russell, Charles Edward","Wheeler, Laura",Undirected,3502,2
"Russell, Charles Edward","Braithwaite, William Stanley",Undirected,3488,2
"Russell, Charles Edward","Villard, Oswald Garrison",Undirected,3479,3
"Russell, Charles Edward","Fauset, Jessie",Undirected,3478,2
"Cullen, Countee P.","Allison, Madeline G.",Undirected,3755,2
"Cullen, Countee P.","Francique, John",Undirected,3753,2
"Cullen, Countee P.","Fauset, Jessie",Undirected,3748,2
"Braithwaite, William Stanley","Hershaw, L. M.",Undirected,3871,2
"Braithwaite, William Stanley","Villard, Oswald Garrison",Undirected,3852,2
"Chesnutt, Charles W.","Villard, Oswald Garrison",Undirected,3900,2
"Villard, Oswald Garrison","Fauset, Jessie",Undirected,4095,5
"Villard, Oswald Garrison","Saunders, Vincent",Undirected,4087,2
"Villard, Oswald Garrison","Johnson, Fenton",Undirected,4085,2
"Villard, Oswald Garrison","Hershaw, L. M.",Undirected,4063,3
"Villard, Oswald Garrison","Dickerman, G. S.",Undirected,4044,2
"Hughes, Langston","Ovington, Mary White",Undirected,4382,2
"Hughes, Langston","Fauset, Jessie",Undirected,4370,10
"Hughes, Langston","Jones, Scipio",Undirected,4368,2
"Hughes, Langston","Newsome, Effie Lee",Undirected,4367,4
"Hughes, Langston","Allison, Madeline G.",Undirected,4365,11
"Hughes, Langston","McKay, Claude",Undirected,4354,2
"Hughes, Langston","Fawcett, James Waldo",Undirected,4353,2
"Hunton, A. W.","Dickerman, G. S.",Undirected,4399,2
Underwood and Underwood,"Johnson, G. Douglas",Undirected,4407,2
"Johnson, Fenton","Moore, William",Undirected,4493,2
"Johnson, Fenton","Brockman, W. L.",Undirected,4489,2
"Storey, Moorfield","Bohanan, Otto Leland",Undirected,4650,3
"Storey, Moorfield","Hill, Leslie Pinckney",Undirected,4633,2
"Storey, Moorfield","Harris, Lorenzo",Undirected,4607,2
"Moravsky, Maria","Allison, Madeline G.",Undirected,4685,2
"Moravsky, Maria","Wilkinson, Hilda Rue",Undirected,4683,2
"Jones, Scipio","Allison, Madeline G.",Undirected,4727,2
"Jones, Scipio","Fauset, Jessie",Undirected,4723,2
"Johnson, Charles Bertram","Allison, Madeline G.",Undirected,4745,5
"Johnson, Charles Bertram","Bentley, Florence Lewis",Undirected,4743,2
"Johnson, Charles Bertram","Wilkinson, Hilda Rue",Undirected,4741,2
"Johnson, Charles Bertram","Fauset, Jessie",Undirected,4737,3
"Burch, Charles Eaton","Allison, Madeline G.",Undirected,4784,2
"Burch, Charles Eaton","Wilkinson, Hilda Rue",Undirected,4782,2
"Fawcett, James Waldo","Allison, Madeline G.",Undirected,4818,3
"Fawcett, James Waldo","Fauset, Jessie",Undirected,4813,3
"DuBois, W. E. Burghardt","Saunders, Vincent",Undirected,4879,3
"Hershaw, L. M.","Fauset, Jessie",Undirected,5112,7
"Hershaw, L. M.","Brooks, C. Ames",Undirected,5101,2
"Hill, Leslie Pinckney","Fauset, Jessie",Undirected,5143,2
"Murray, Ella Rush","Allison, Madeline G.",Undirected,5234,2
"Murray, Ella Rush","Wilkinson, Hilda Rue",Undirected,5233,2
"Watkins, Lucian B.","Spingarn, J. E.",Undirected,5486,2
"Watkins, Lucian B.","Saunders, Vincent",Undirected,5478,2
