Id,Label
"DuBois, W. E. B.","DuBois, W. E. B."
"Stoddard, Yetta Kay","Stoddard, Yetta Kay"
"Brawley, Benjamin","Brawley, Benjamin"
"Schomburg, Arthur A.","Schomburg, Arthur A."
"Du Bois, W. E. B.","Du Bois, W. E. B."
"Spencer, Anne","Spencer, Anne"
"Lindsay, Nicholas Vachel","Lindsay, Nicholas Vachel"
"Koch, Felix J.","Koch, Felix J."
"Addams, Jane","Addams, Jane"
"Smith, Albert","Smith, Albert"
"Jordan, Winifred Virginia","Jordan, Winifred Virginia"
"Bagnall, R. W.","Bagnall, R. W."
"Walts, Frank","Walts, Frank"
"Richardson, Willis","Richardson, Willis"
"Battey, C. M.","Battey, C. M."
"Corrothers, James D.","Corrothers, James D."
"Milholland, John E. (Mrs.)","Milholland, John E. (Mrs.)"
"Johnson, James Weldon","Johnson, James Weldon"
"Adams, John Henry","Adams, John Henry"
"Johnson, Georgia Douglass","Johnson, Georgia Douglass"
"Allison, M. G.","Allison, M. G."
"Russell, Charles Edward","Russell, Charles Edward"
"Cullen, Countee P.","Cullen, Countee P."
"Braithwaite, William Stanley","Braithwaite, William Stanley"
"Chesnutt, Charles W.","Chesnutt, Charles W."
"Villard, Oswald Garrison","Villard, Oswald Garrison"
"Hughes, Langston","Hughes, Langston"
"Hunton, A. W.","Hunton, A. W."
Underwood and Underwood,Underwood and Underwood
"Johnson, Fenton","Johnson, Fenton"
"Storey, Moorfield","Storey, Moorfield"
"Moravsky, Maria","Moravsky, Maria"
"Jones, Scipio","Jones, Scipio"
"Johnson, Charles Bertram","Johnson, Charles Bertram"
"Burch, Charles Eaton","Burch, Charles Eaton"
"Fawcett, James Waldo","Fawcett, James Waldo"
"DuBois, W. E. Burghardt","DuBois, W. E. Burghardt"
"Hershaw, L. M.","Hershaw, L. M."
"Hill, Leslie Pinckney","Hill, Leslie Pinckney"
"Murray, Ella Rush","Murray, Ella Rush"
"Watkins, Lucian B.","Watkins, Lucian B."
"Pendleton, Leila Amos","Pendleton, Leila Amos"
"Ovington, Mary White","Ovington, Mary White"
"Bohanan, Otto Leland","Bohanan, Otto Leland"
"Bradford, George G.","Bradford, George G."
"McKay, Claude","McKay, Claude"
"Allison, Madeline G.","Allison, Madeline G."
"Wilkinson, Hilda Rue","Wilkinson, Hilda Rue"
"Pickens, William","Pickens, William"
"Cloud, F. H.","Cloud, F. H."
"Moore, William","Moore, William"
Underwood &amp; Underwood,Underwood &amp; Underwood
"Fauset, Jessie","Fauset, Jessie"
"Newsome, Mary Effie Lee","Newsome, Mary Effie Lee"
"Canfield, Dorothy","Canfield, Dorothy"
"Harris, Lorenzo","Harris, Lorenzo"
"Wilkinson, Hilda","Wilkinson, Hilda"
"Cotter, Joseph S.","Cotter, Joseph S."
"Bentley, Florence Lewis","Bentley, Florence Lewis"
"Saunders, Vincent","Saunders, Vincent"
"Holmes, John Haynes","Holmes, John Haynes"
"Dickerman, G. S.","Dickerman, G. S."
"Johnson, Georgia Douglas","Johnson, Georgia Douglas"
"White, Walter F.","White, Walter F."
"Johnson, G. Douglas","Johnson, G. Douglas"
"Lee, Mary Effie","Lee, Mary Effie"
"Brown, Richard L.","Brown, Richard L."
"Bagnall, Robert W.","Bagnall, Robert W."
"Newsome, Effie Lee","Newsome, Effie Lee"
Scurlock,Scurlock
"Wheeler, Laura","Wheeler, Laura"
"Smith, Albert A.","Smith, Albert A."
"Spingarn, J. E.","Spingarn, J. E."
"Clifford, Carrie W.","Clifford, Carrie W."
"Brockman, W. L.","Brockman, W. L."
"Francique, John","Francique, John"
"Brooks, C. Ames","Brooks, C. Ames"
"Toomer, Jean","Toomer, Jean"
J. F.,J. F.
