Source,Target,Type,Id,Weight
"M'Cannell, Otway","Tucker, Benjamin R.",Undirected,53226,2
"M'Cannell, Otway","Sartoris, C.",Undirected,53223,2
"M'Cannell, Otway","Upward, Allen",Undirected,53221,2
"M'Cannell, Otway","Pound, Ezra",Undirected,53219,2
"M'Cannell, Otway","De Gourmont, Remy",Undirected,53217,2
"M'Cannell, Otway","Ed. of ""The New Freewoman""",Undirected,53215,2
"M'Cannell, Otway","Byington, Steven T.",Undirected,53212,2
"Zangwill, E. Ayrton","Weston, Selwyn",Undirected,53437,2
"Zangwill, E. Ayrton","Hindshaw, Winifred",Undirected,53429,2
"Zangwill, E. Ayrton","Lewis, Arthur D.",Undirected,53403,2
"Zangwill, E. Ayrton","Haughton, Amy",Undirected,53402,2
"Campbell, Donald","Whitby, Charles J.",Undirected,53518,2
"Campbell, Donald","Gawthorpe, Mary",Undirected,53517,2
"Campbell, Donald","Ed. of ""The Freewoman""",Undirected,53515,3
"Campbell, Donald","Boord, Coralie M.",Undirected,53500,2
"Campbell, Donald","Mylius, E. F.",Undirected,53495,2
"Campbell, Donald","Norman, C. H.",Undirected,53493,2
"Campbell, Donald","Graham, Rachel",Undirected,53490,2
"Campbell, Donald","Visiak, E. H.",Undirected,53485,2
"Campbell, Donald","Kitson, Arthur",Undirected,53484,2
"Campbell, Donald","Lewis, Arthur D.",Undirected,53476,3
"Campbell, Donald","Hunt, Chas. F.",Undirected,53475,2
"Campbell, Donald","West, Rebecca",Undirected,53473,3
"Teulon Porter, Beeban",Herrmann Karl Georg Jesus Maria,Undirected,53569,2
"Teulon Porter, Beeban",Auceps,Undirected,53562,3
"Teulon Porter, Beeban","Joyce, James",Undirected,53560,3
"Teulon Porter, Beeban","Ed. of ""The Egoist""",Undirected,53556,3
"Teulon Porter, Beeban","Compton-Rickett, Leonard A.",Undirected,53550,2
"Teulon Porter, Beeban","Aldington, Richard",Undirected,53548,3
"Teulon Porter, Beeban","Carter, Huntly",Undirected,53541,2
"Teulon Porter, Beeban","Teulon Porter, Noel",Undirected,53536,3
"Teulon Porter, Beeban","Pound, Ezra",Undirected,53532,2
"Bradford, Florence M.","Aldington, Richard",Undirected,53651,2
"Bradford, Florence M.","Carter, Huntly",Undirected,53648,2
"Bradford, Florence M.","Marsden, Dora",Undirected,53647,2
"Bradford, Florence M.","Joyce, James",Undirected,53645,2
"Bradford, Florence M.","Ciolkowska, Muriel",Undirected,53640,2
"Wagner, A. G.","Joyce, James",Undirected,53733,2
"Wagner, A. G.","Aldington, Richard",Undirected,53732,2
"Whitby, Charles J.","Foss, William",Undirected,53943,3
"Whitby, Charles J.","Macdonald, W. A.",Undirected,53942,3
"Whitby, Charles J.","Gaskell, Ellen S.",Undirected,53939,2
"Whitby, Charles J.","Ed. of ""The Freewoman""",Undirected,53938,13
"Whitby, Charles J.",B. A. S.,Undirected,53937,2
"Whitby, Charles J.","Ciolkowska, Muriel",Undirected,53935,3
"Whitby, Charles J.","Pearce, I. D.",Undirected,53932,3
"Whitby, Charles J.","Macdonald, Helen M.",Undirected,53930,2
"Whitby, Charles J.","Robinson, Rona (M.Sc.)",Undirected,53927,2
"Whitby, Charles J.","Aldington, Richard",Undirected,53925,2
"Whitby, Charles J.","Chapman, Dorothy",Undirected,53917,2
"Whitby, Charles J.","Aldred, Guy A.",Undirected,53916,3
"Whitby, Charles J.",M. S.,Undirected,53914,2
"Whitby, Charles J.","Low, B.",Undirected,53913,4
"Whitby, Charles J.",A. F.,Undirected,53912,2
"Whitby, Charles J.","West, Rebecca",Undirected,53901,9
"Whitby, Charles J.","Guthrie, Edward K.",Undirected,53899,2
"Whitby, Charles J.","Woods, R. C. Fletcher",Undirected,53891,2
"Whitby, Charles J.","Haynes, E. S. P.",Undirected,53883,3
"Whitby, Charles J.","Weston, Selwyn",Undirected,53877,7
"Whitby, Charles J.",A New Subscriber,Undirected,53876,2
"Whitby, Charles J.","Harpur, Caldwell",Undirected,53874,2
"Whitby, Charles J.",M. C.,Undirected,53868,2
