Id,Label
"D'Auvergne, Edmund B.","D'Auvergne, Edmund B."
"Sologub, Feodor","Sologub, Feodor"
"Kerr, R. B.","Kerr, R. B."
"Collins, Fred","Collins, Fred"
E. H. W.,E. H. W.
"Watson, E. M.","Watson, E. M."
"Harpur, Caldwell","Harpur, Caldwell"
"Mortished, R. J. P.","Mortished, R. J. P."
Drysdale (Dr.),Drysdale (Dr.)
"Fletcher, John Gould","Fletcher, John Gould"
"De Gourmont, Remy","De Gourmont, Remy"
"Jones, Gladys","Jones, Gladys"
"Hunt, Chas. F.","Hunt, Chas. F."
Apteryx,Apteryx
E. S. P. H.,E. S. P. H.
F. R. A. I.,F. R. A. I.
"Kitson, Arthur","Kitson, Arthur"
"Hartley, C. Gasquoine","Hartley, C. Gasquoine"
"Leatham, Isabel","Leatham, Isabel"
P. W.,P. W.
K'ung the Master,K'ung the Master
"Pound, Ezra","Pound, Ezra"
"Melvin, Alice","Melvin, Alice"
"Chew, Ada Nield","Chew, Ada Nield"
"Robinson, Rona (M.Sc.)","Robinson, Rona (M.Sc.)"
"Melville, Lewis","Melville, Lewis"
"Randolph, Mary","Randolph, Mary"
"Swan, F. R. (Rev.)","Swan, F. R. (Rev.)"
C. S. H.,C. S. H.
"Scott, Evelyn","Scott, Evelyn"
"Webb, Maurice","Webb, Maurice"
"De Bosschère, Jean","De Bosschère, Jean"
"Visiak, E. H.","Visiak, E. H."
"O'Shea, N.","O'Shea, N."
"Bodenheim, Maxwell","Bodenheim, Maxwell"
"Cournos, John","Cournos, John"
"Rodker, John","Rodker, John"
"Gregg, Frances","Gregg, Frances"
"Whitby, Charles J.","Whitby, Charles J."
"Holley, Horace","Holley, Horace"
"Skovgaard-Pedersen, Amy","Skovgaard-Pedersen, Amy"
"Kuehn, Herman","Kuehn, Herman"
"Mylius, E. F.","Mylius, E. F."
"Macdonald, W. A.","Macdonald, W. A."
"Craig, Jane","Craig, Jane"
"Lafitte, Françoise","Lafitte, Françoise"
"Graham, Rachel","Graham, Rachel"
"Editor of ""The Egoist""","Editor of ""The Egoist"""
"Boyd, Ernest A.","Boyd, Ernest A."
"McClure, Jack","McClure, Jack"
"Hilton, John","Hilton, John"
"Drysdale, B.","Drysdale, B."
"Marriott, Ernest","Marriott, Ernest"
"Browne, F. W. Stella","Browne, F. W. Stella"
"Fysher, Greevz","Fysher, Greevz"
"Woods, R. C. Fletcher","Woods, R. C. Fletcher"
"Barry, Iris","Barry, Iris"
"Teulon Porter, Beeban","Teulon Porter, Beeban"
"Shanafelt, Clara","Shanafelt, Clara"
"de Gourmont, Remy","de Gourmont, Remy"
"Hoyt, Helen","Hoyt, Helen"
"Haughton, Amy","Haughton, Amy"
"Gallichan, Walter M.","Gallichan, Walter M."
"Guthrie, E. K.","Guthrie, E. K."
"Compton-Rickett, Leonard A.","Compton-Rickett, Leonard A."
"Prewett, Frances","Prewett, Frances"
"Lewis, Arthur D.","Lewis, Arthur D."
"Harding, G. L.","Harding, G. L."
"Wagstaff, Blanche Shoemaker","Wagstaff, Blanche Shoemaker"
"Meulen, Henry","Meulen, Henry"
R. R. W.,R. R. W.
"Oliver, Kathlyn","Oliver, Kathlyn"
"Kauffman, Reginald Wright","Kauffman, Reginald Wright"
"Clark, Helen Gordon (M.D.)","Clark, Helen Gordon (M.D.)"
The Wife of the Man Married and Happy,The Wife of the Man Married and Happy
"Eliot, T. S.","Eliot, T. S."
"Drysdale, C. V.","Drysdale, C. V."
"Ed. of ""The Egoist""","Ed. of ""The Egoist"""
"Guthrie, Edward K.","Guthrie, Edward K."
"Jameson, Margaret Storm","Jameson, Margaret Storm"
"Gerrare, W.","Gerrare, W."
"Symons, Arthur","Symons, Arthur"
"Johnson, Fanny","Johnson, Fanny"
X,X
H. D.,H. D.
Various Hands,Various Hands
T. S. E.,T. S. E.
"M'Cannell, Otway","M'Cannell, Otway"
Home Worker,Home Worker
"Swartz, Clarence Lee","Swartz, Clarence Lee"
"Zangwill, E. Ayrton","Zangwill, E. Ayrton"
The Chancellor,The Chancellor
D. M.,D. M.
"Pearce, I. D.","Pearce, I. D."
"Monroe, Harriet","Monroe, Harriet"
"Lewis, Wyndham","Lewis, Wyndham"
"Bain, A. M.","Bain, A. M."
"Warde, Julian","Warde, Julian"
"Rubinstein, H. F.","Rubinstein, H. F."
"Hewson, Arthur","Hewson, Arthur"
"Marsden, Dora","Marsden, Dora"
"Campbell, Donald","Campbell, Donald"
E. P.,E. P.
"Willcocks, M. P.","Willcocks, M. P."
"Groff, Alice","Groff, Alice"
"Storer, Edward","Storer, Edward"
"Whitall, James","Whitall, James"
"Langworthy, F.","Langworthy, F."
"Hindshaw, Winifred","Hindshaw, Winifred"
A. F.,A. F.
M. S.,M. S.
"Donisthorpe, Wordsworth","Donisthorpe, Wordsworth"
"Weston, Selwyn","Weston, Selwyn"
"Flügel, J. C.","Flügel, J. C."
"Wearne, Virginia K.","Wearne, Virginia K."
"Montagu-Nathan, M.","Montagu-Nathan, M."
"Scott, K. D.","Scott, K. D."
"Hatfield, H. Stafford","Hatfield, H. Stafford"
"Durak, B.","Durak, B."
"Randall, A. W. G.","Randall, A. W. G."
M. A. F.,M. A. F.
"Ed. of ""The New Freewoman""","Ed. of ""The New Freewoman"""
"Schvan, August","Schvan, August"
"Sinclair, Upton","Sinclair, Upton"
A Bystander,A Bystander
"Lowell, Amy","Lowell, Amy"
"Weininger, Otto","Weininger, Otto"
"Wells, H. G.","Wells, H. G."
F. T. S.,F. T. S.
"Ed. of ""The Freewoman""","Ed. of ""The Freewoman"""
Bloomsbury,Bloomsbury
"Michelson, Max","Michelson, Max"
"Cros, Guy-Charles","Cros, Guy-Charles"
Sappho,Sappho
"Baty, T.","Baty, T."
"Lafon, André","Lafon, André"
"Flint, F. S.","Flint, F. S."
"Macdonald, Helen Meredith","Macdonald, Helen Meredith"
"Lautreamont, Comte de","Lautreamont, Comte de"
"Radford, Margaret Maitland","Radford, Margaret Maitland"
R. G.,R. G.
"Altenberg, Peter","Altenberg, Peter"
"Ciolkowska, Muriel","Ciolkowska, Muriel"
A New Subscriber,A New Subscriber
"Foss, William","Foss, William"
"Tiens Ferme""","Tiens Ferme"""
P. T. T.,P. T. T.
"Lautréamont, Comte de","Lautréamont, Comte de"
"Henry, Leigh","Henry, Leigh"
"Blount, Godfrey (B.A.)","Blount, Godfrey (B.A.)"
"Wrench, G. T.","Wrench, G. T."
"Horwitz, Israel","Horwitz, Israel"
"Harpur, C.","Harpur, C."
"Pulley, H. M.","Pulley, H. M."
H. S. C.,H. S. C.
"Goldring, Douglas","Goldring, Douglas"
"Simmons, T. Bayard","Simmons, T. Bayard"
"Williams, William Carlos","Williams, William Carlos"
A. B.,A. B.
C. M.,C. M.
A Woman,A Woman
"Kristian, Raoul","Kristian, Raoul"
"Browne, Edith A.","Browne, Edith A."
Bulteau (Madame),Bulteau (Madame)
"Vanderpyl, Fritz R.","Vanderpyl, Fritz R."
"Birnstingl, Harry J.","Birnstingl, Harry J."
"Monro, Harold","Monro, Harold"
"Granville, Charles","Granville, Charles"
"Tucker, Benj. R.","Tucker, Benj. R."
"Joyce, James","Joyce, James"
"Grierson, Francis","Grierson, Francis"
"Sinclair, May","Sinclair, May"
"von Helmholtz, Baptiste","von Helmholtz, Baptiste"
M. de V.-M.,M. de V.-M.
"Felton, John","Felton, John"
"Thomas, Louis","Thomas, Louis"
"Hadley, Helena","Hadley, Helena"
"Haynes, E. S. P.","Haynes, E. S. P."
"Tayleur, Richard","Tayleur, Richard"
"Skelhorn, S.","Skelhorn, S."
"Norman, C. H.","Norman, C. H."
"Gaskell, Ellen S.","Gaskell, Ellen S."
"Lawrence, D. H.","Lawrence, D. H."
"Aldred, Guy A.","Aldred, Guy A."
"Defries, Amelia Dorothy","Defries, Amelia Dorothy"
"Rodker, J.","Rodker, J."
"Gawthorpe, Mary","Gawthorpe, Mary"
F. M. P.,F. M. P.
"Weaver, Harriet Shaw","Weaver, Harriet Shaw"
"Bradford, Florence M.","Bradford, Florence M."
"Dobrée, B.","Dobrée, B."
"Theobald, Margaret","Theobald, Margaret"
"Baker, Josephine","Baker, Josephine"
H. S. W.,H. S. W.
"Mowrer, Edgar A.","Mowrer, Edgar A."
"Marsden, D.","Marsden, D."
"Hare, William Loftus","Hare, William Loftus"
M. E. A.,M. E. A.
"Hall, Bolton","Hall, Bolton"
"Glaenzer, Richard Butler","Glaenzer, Richard Butler"
"Binns, Henry Bryan","Binns, Henry Bryan"
J.,J.
"Boord, Coralie M.","Boord, Coralie M."
"Pulley, Honor M.","Pulley, Honor M."
A Protestant,A Protestant
A Reader,A Reader
"Aldington, Richard","Aldington, Richard"
"Pender, R. Herdman","Pender, R. Herdman"
O. K.,O. K.
"Brodie, Mimi","Brodie, Mimi"
"Fontenelle, Bernard le Bovier de","Fontenelle, Bernard le Bovier de"
"Beauduin, Nicholas","Beauduin, Nicholas"
"von Helmholtz, Bastien","von Helmholtz, Bastien"
"Moore, Marianne","Moore, Marianne"
"Sartoris, C.","Sartoris, C."
"Avis, Tallis","Avis, Tallis"
"Hunt, C. F.","Hunt, C. F."
M. C.,M. C.
"Macdonald, W. Allan","Macdonald, W. Allan"
"Oyler, Philip","Oyler, Philip"
"West, Rebecca","West, Rebecca"
"Read, Herbert","Read, Herbert"
"Carey, Winifred Rose","Carey, Winifred Rose"
"Byington, Steven T.","Byington, Steven T."
"Teulon Porter, Noel","Teulon Porter, Noel"
"Watts, Frank","Watts, Frank"
"Gill, Eric","Gill, Eric"
B. L.,B. L.
"Tucker, Benjamin R.","Tucker, Benjamin R."
Saint Fiacre,Saint Fiacre
"Higgs, Mary","Higgs, Mary"
"Whitby, Charles J. (M.D.)","Whitby, Charles J. (M.D.)"
"Wright, Josephine","Wright, Josephine"
"Hamilton, Helen","Hamilton, Helen"
"Milosz, O. W.","Milosz, O. W."
"Low, B.","Low, B."
"Noguchi, Yone","Noguchi, Yone"
"Wagner, A. G.","Wagner, A. G."
"Randolph, Stanley","Randolph, Stanley"
"Mallon, J. J.","Mallon, J. J."
"Jacobs, E.","Jacobs, E."
"Eder, M. D.","Eder, M. D."
"D'Auvergne, Edmund","D'Auvergne, Edmund"
B. A. S.,B. A. S.
R. A.,R. A.
"Kristian, Roald","Kristian, Roald"
"Upward, Allen","Upward, Allen"
"Cobb, W. F. (D.D.)","Cobb, W. F. (D.D.)"
"Morgan, E. Noel","Morgan, E. Noel"
"Randall, Alec W. G.","Randall, Alec W. G."
"Herrin, Edwin","Herrin, Edwin"
"Lansbury, George","Lansbury, George"
"Jameson, Storm","Jameson, Storm"
"Macdonald, Helen M.","Macdonald, Helen M."
"Burnett, Alice C.","Burnett, Alice C."
Auceps,Auceps
"Carter, Huntly","Carter, Huntly"
"Sitwell, Sacheverell","Sitwell, Sacheverell"
"Flecker, James Elroy","Flecker, James Elroy"
