Id,Label
"Andelson, Pearl","Andelson, Pearl"
"Garnett, Louise Ayres","Garnett, Louise Ayres"
Wang Wei,Wang Wei
"Purdon, Arthur","Purdon, Arthur"
"Greenhood, David","Greenhood, David"
"Laurencin, Marie","Laurencin, Marie"
"Masters, Edgar Lee","Masters, Edgar Lee"
"Twitchell, Anna Spencer","Twitchell, Anna Spencer"
"Reed, John","Reed, John"
"Anderson, Margaret C.","Anderson, Margaret C."
"Stone, Lee A.","Stone, Lee A."
"Davis, F. Guy","Davis, F. Guy"
"Holden, Raymond","Holden, Raymond"
"Dudley, Dorothy","Dudley, Dorothy"
"D'Orge, Jeanne","D'Orge, Jeanne"
"Aldis, Mary","Aldis, Mary"
"Conkling, Grace Hazard","Conkling, Grace Hazard"
"Bryant, Louise","Bryant, Louise"
"Scollard, Clinton","Scollard, Clinton"
"Fletcher, John Gould","Fletcher, John Gould"
"Shanks, E. Buxton","Shanks, E. Buxton"
"Dawson, Mitchell","Dawson, Mitchell"
"Selva, Salomón de la","Selva, Salomón de la"
"De Gourmont, Remy","De Gourmont, Remy"
"Winters, A. Y.","Winters, A. Y."
A. S.,A. S.
"Ridge, Lola","Ridge, Lola"
"Loy, Mina","Loy, Mina"
"Crawford, Nelson Antrim","Crawford, Nelson Antrim"
"Towne, Charles Hanson","Towne, Charles Hanson"
"Long, Lily A.","Long, Lily A."
"Kaun, Alexander S.","Kaun, Alexander S."
A. E.,A. E.
"Buzzell, Francis","Buzzell, Francis"
"Arnold, Matthew","Arnold, Matthew"
"Robinson, Eloise","Robinson, Eloise"
"Zorach, William","Zorach, William"
"Widdemer, Margaret","Widdemer, Margaret"
"Comfort, Will Levington","Comfort, Will Levington"
"Taggard, Genevieve","Taggard, Genevieve"
"Bynner, Witter","Bynner, Witter"
"Cromwell, Gladys","Cromwell, Gladys"
"Puteklis, Louis","Puteklis, Louis"
"Kiang Kang-Hu, S. C.","Kiang Kang-Hu, S. C."
R.,R.
"Catel, Jean","Catel, Jean"
"Colum, Padraic","Colum, Padraic"
"Roberts, Elizabeth Madox","Roberts, Elizabeth Madox"
"Lesemann, Maurice","Lesemann, Maurice"
"Fischer, Raymond P.","Fischer, Raymond P."
"Unna, Sarah","Unna, Sarah"
"Hunt, Violet","Hunt, Violet"
"Nicholl, Louise Townsend","Nicholl, Louise Townsend"
"Glaenzer, Richard Butler","Glaenzer, Richard Butler"
"Swawite, Marguerite","Swawite, Marguerite"
