Source,Target,Weight
1,0,1
2,0,1
3,0,1
3,1,1
4,0,1
4,2,1
5,0,1
5,1,1
5,2,1
5,3,1
5,4,1
6,0,1
6,1,1
6,4,1
6,5,1
7,2,1
7,5,1
7,6,1
8,3,1
9,3,1
9,8,1
10,3,1
10,6,1
10,8,1
11,3,1
11,8,1
11,9,1
11,10,1
12,3,1
12,6,1
12,8,1
12,9,1
12,10,1
12,11,1
13,3,1
13,8,1
13,11,1
13,12,1
14,3,1
14,8,1
14,9,1
14,11,1
14,12,1
14,7,1
15,3,1
15,10,1
15,12,1
16,3,1
16,10,1
16,15,1
17,3,1
17,11,1
17,12,1
17,13,1
18,3,1
18,6,1
18,12,1
19,3,1
19,10,1
20,3,1
20,8,1
20,9,1
20,11,1
21,3,1
21,8,1
21,10,1
21,11,1
22,3,1
22,6,1
22,8,1
22,11,1
23,3,1
23,8,1
23,12,1
23,21,1
24,3,1
24,8,1
24,9,1
24,12,1
24,20,1
25,3,1
25,6,1
25,14,1
25,22,1
26,3,1
26,8,1
26,11,1
26,14,1
26,24,1
27,3,1
27,8,1
27,9,1
27,11,1
27,23,1
28,4,1
29,4,1
29,6,1
29,11,1
29,13,1
30,4,1
30,7,1
31,4,1
31,30,1
32,8,1
32,12,1
32,13,1
32,23,1
33,32,1
33,8,1
33,10,1
33,12,1
33,23,1
35,34,1
35,8,1
35,10,1
36,34,1
36,35,1
36,12,1
37,34,1
37,8,1
37,10,1
37,35,1
37,33,1
38,34,1
38,10,1
38,35,1
38,12,1
38,37,1
38,33,1
39,34,1
39,10,1
39,35,1
39,12,1
39,38,1
39,33,1
40,8,1
40,35,1
40,12,1
40,13,1
40,20,1
40,22,1
40,39,1
40,24,1
40,25,1
40,26,1
40,27,1
41,8,1
41,9,1
41,40,1
41,12,1
41,36,1
41,27,1
42,8,1
42,40,1
42,13,1
42,39,1
43,8,1
43,35,1
43,13,1
43,42,1
44,8,1
44,40,1
44,35,1
44,12,1
44,13,1
45,8,1
45,9,1
45,40,1
45,11,1
45,26,1
46,8,1
46,12,1
47,9,1
47,40,1
47,41,1
47,11,1
47,12,1
47,13,1
47,42,1
47,36,1
47,37,1
47,17,1
47,33,1
47,45,1
47,46,1
47,23,1
47,24,1
47,26,1
47,27,1
48,9,1
48,20,1
49,9,1
49,20,1
49,31,1
49,48,1
50,9,1
50,11,1
51,9,1
52,9,1
52,22,1
52,51,1
53,40,1
53,20,1
53,24,1
53,26,1
54,40,1
54,41,1
54,12,1
54,47,1
54,23,1
54,27,1
55,10,1
55,12,1
55,15,1
55,19,1
56,11,1
56,19,1
56,43,1
57,13,1
57,56,1
57,20,1
57,48,1
57,49,1
58,14,1
58,7,1
58,30,1
58,49,1
58,50,1
58,51,1
58,52,1
60,59,1
61,59,1
62,59,1
62,60,1
63,59,1
63,60,1
63,62,1
64,58,1
64,51,1
64,52,1
65,64,1
65,58,1
65,51,1
66,64,1
66,28,1
66,30,1
67,64,1
67,65,1
67,66,1
67,30,1
68,64,1
68,58,1
68,65,1
69,64,1
69,58,1
69,65,1
69,51,1
70,64,1
70,66,1
70,30,1
71,7,1
71,68,1
71,70,1
72,71,1
72,28,1
72,66,1
72,49,1
72,70,1
73,71,1
73,72,1
73,66,1
73,30,1
73,31,1
74,71,1
74,72,1
74,73,1
74,66,1
74,30,1
74,31,1
75,71,1
75,72,1
75,73,1
75,74,1
75,30,1
75,31,1
75,70,1
76,71,1
76,72,1
76,75,1
76,66,1
76,30,1
76,31,1
76,49,1
76,53,1
77,71,1
77,75,1
77,58,1
77,30,1
77,19,1
77,31,1
77,76,1
78,71,1
78,72,1
78,74,1
78,75,1
78,31,1
79,71,1
79,72,1
79,74,1
79,75,1
79,30,1
80,71,1
80,72,1
80,66,1
80,30,1
81,71,1
82,71,1
82,72,1
82,73,1
82,74,1
82,75,1
82,30,1
82,31,1
82,76,1
83,71,1
83,73,1
83,75,1
83,30,1
83,76,1
84,72,1
84,74,1
84,75,1
84,66,1
84,73,1
84,60,1
84,30,1
84,62,1
84,76,1
84,79,1
84,81,1
84,82,1
84,83,1
85,72,1
85,7,1
85,58,1
85,65,1
85,66,1
86,72,1
86,73,1
86,66,1
86,84,1
86,60,1
86,30,1
86,61,1
86,76,1
86,81,1
87,72,1
87,74,1
87,84,1
87,83,1
88,72,1
88,74,1
88,66,1
88,84,1
89,72,1
89,73,1
89,66,1
89,84,1
89,86,1
89,88,1
90,72,1
90,66,1
90,70,1
91,72,1
91,74,1
91,75,1
91,31,1
91,90,1
91,79,1
92,72,1
92,73,1
92,75,1
93,73,1
93,66,1
93,86,1
93,30,1
94,73,1
94,84,1
94,93,1
95,73,1
95,94,1
95,61,1
96,73,1
96,66,1
96,84,1
96,94,1
97,73,1
97,66,1
97,84,1
97,86,1
97,96,1
97,81,1
98,73,1
98,74,1
98,87,1
98,91,1
99,73,1
99,74,1
99,66,1
99,84,1
99,93,1
99,60,1
99,59,1
99,30,1
99,62,1
99,63,1
99,90,1
100,73,1
100,66,1
100,84,1
100,86,1
100,96,1
100,98,1
100,99,1
100,62,1
100,79,1
100,91,1
100,83,1
101,84,1
101,86,1
101,94,1
101,100,1
101,61,1
102,93,1
102,94,1
102,95,1
102,46,1
103,67,1
104,67,1
104,69,1
104,103,1
