Id,Label,political_ideology
0,1000 Years for Revenge,neutral
1,Bush vs. the Beltway,conservative
2,Charlie Wilson's War,conservative
3,Losing Bin Laden,conservative
4,Sleeping With the Devil,neutral
5,The Man Who Warned America,conservative
6,Why America Slept,neutral
7,Ghost Wars,neutral
8,A National Party No More,conservative
9,Bush Country,conservative
10,Dereliction of Duty,conservative
11,Legacy,conservative
12,Off with Their Heads,conservative
13,Persecution,conservative
14,Rumsfeld's War,conservative
15,Breakdown,conservative
16,Betrayal,conservative
17,Shut Up and Sing,conservative
18,Meant To Be,neutral
19,The Right Man,conservative
20,Ten Minutes from Normal,conservative
21,Hillary's Scheme,conservative
22,The French Betrayal of America,conservative
23,Tales from the Left Coast,conservative
24,Hating America,conservative
25,The Third Terrorist,conservative
26,Endgame,conservative
27,Spin Sisters,conservative
28,All the Shah's Men,neutral
29,Dangerous Dimplomacy,conservative
30,The Price of Loyalty,liberal
31,"House of Bush, House of Saud",liberal
32,The Death of Right and Wrong,conservative
33,Useful Idiots,conservative
34,The O'Reilly Factor,conservative
35,Let Freedom Ring,conservative
36,Those Who Trespass,conservative
37,Bias,conservative
38,Slander,conservative
39,The Savage Nation,conservative
40,Deliver Us from Evil,conservative
41,Give Me a Break,conservative
42,The Enemy Within,conservative
43,The Real America,conservative
44,Who's Looking Out for You?,conservative
45,The Official Handbook Vast Right Wing Conspiracy,conservative
46,Power Plays,neutral
47,Arrogance,conservative
48,The Perfect Wife,neutral
49,The Bushes,conservative
50,Things Worth Fighting For,conservative
51,"Surprise, Security, the American Experience",neutral
52,Allies,conservative
53,Why Courage Matters,conservative
54,Hollywood Interrupted,conservative
55,Fighting Back,conservative
56,We Will Prevail,conservative
57,The Faith of George W Bush,conservative
58,Rise of the Vulcans,conservative
59,Downsize This!,liberal
60,Stupid White Men,liberal
61,Rush Limbaugh Is a Big Fat Idiot,liberal
62,The Best Democracy Money Can Buy,liberal
63,The Culture of Fear,liberal
64,America Unbound,liberal
65,The Choice,liberal
66,The Great Unraveling,liberal
67,Rogue Nation,liberal
68,Soft Power,liberal
69,Colossus,neutral
70,The Sorrows of Empire,liberal
71,Against All Enemies,liberal
72,American Dynasty,liberal
73,Big Lies,liberal
74,The Lies of George W. Bush,liberal
75,Worse Than Watergate,liberal
76,Plan of Attack,neutral
77,Bush at War,conservative
78,The New Pearl Harbor,liberal
79,Bushwomen,liberal
80,The Bubble of American Supremacy,liberal
81,Living History,liberal
82,The Politics of Truth,liberal
83,Fanatics and Fools,liberal
84,Bushwhacked,liberal
85,Disarming Iraq,liberal
86,Lies and the Lying Liars Who Tell Them,liberal
87,MoveOn's 50 Ways to Love Your Country,liberal
88,The Buying of the President 2004,liberal
89,Perfectly Legal,liberal
90,Hegemony or Survival,liberal
91,The Exception to the Rulers,liberal
92,Freethinkers,liberal
93,Had Enough?,liberal
94,"It's Still the Economy, Stupid!",liberal
95,We're Right They're Wrong,liberal
96,What Liberal Media?,liberal
97,The Clinton Wars,liberal
98,Weapons of Mass Deception,liberal
99,"Dude, Where's My Country?",liberal
100,Thieves in High Places,liberal
101,Shrub,liberal
102,Buck Up Suck Up,liberal
103,The Future of Freedom,neutral
104,Empire,neutral
