Source,Target,Type,Id,Weight
George Keith,William Bradford,Undirected,7,1
George Keith,George Whitehead,Undirected,6,1
George Keith,George Fox,Undirected,5,1
George Keith,William Penn,Undirected,4,1
George Keith,Franciscus Mercurius van Helmont,Undirected,3,1
George Keith,Anne Conway Viscountess Conway and Killultagh,Undirected,2,1
George Keith,Benjamin Furly,Undirected,1,1
George Keith,Robert Barclay,Undirected,0,1
Robert Barclay,David Barclay of Ury,Undirected,159,1
Benjamin Furly,Robert Barclay,Undirected,106,1
Benjamin Furly,William Penn,Undirected,109,1
Benjamin Furly,William Caton,Undirected,108,1
Benjamin Furly,Alexander Parker,Undirected,107,1
Stephen Crisp,Benjamin Furly,Undirected,100,1
John Stubbs,Benjamin Furly,Undirected,58,1
George Fox,Benjamin Furly,Undirected,47,1
Franciscus Mercurius van Helmont,Benjamin Furly,Undirected,16,1
James Parnel,Benjamin Furly,Undirected,8,1
William Penn,Richard Claridge,Undirected,157,1
William Penn,Margaret Fell,Undirected,156,1
William Penn,David Lloyd,Undirected,155,1
William Penn,Mary Penington,Undirected,154,1
William Penn,Thomas Story,Undirected,153,1
William Penn,James Claypoole,Undirected,152,1
William Penn,Tace Sowle,Undirected,151,1
Rebecca Travers,William Penn,Undirected,141,1
John Burnyeat,William Penn,Undirected,134,1
George Whitehead,William Penn,Undirected,127,1
Edward Haistwell,William Penn,Undirected,114,1
James Logan,William Penn,Undirected,111,1
Isaac Norris,William Penn,Undirected,71,1
George Fox,William Penn,Undirected,57,1
Isabel Yeamans,William Penn,Undirected,39,1
William Bradford,William Penn,Undirected,32,1
George Fox,Leonard Fell,Undirected,56,1
George Fox,John Perrot,Undirected,55,1
George Fox,John Stubbs,Undirected,54,1
George Fox,William Coddington,Undirected,53,1
George Fox,Thomas Ellwood,Undirected,52,1
George Fox,John Wilkinson,Undirected,51,1
George Fox,Edward Burrough,Undirected,50,1
George Fox,James Nayler,Undirected,49,1
George Fox,Thomas Salthouse,Undirected,48,1
George Fox,George Whitehead,Undirected,46,1
George Fox,John Crook,Undirected,45,1
George Fox,Margaret Fell,Undirected,44,1
George Fox,Elizabeth Hooten,Undirected,43,1
George Fox,William Mead,Undirected,42,1
George Fox,Ellis Hookes,Undirected,41,1
Francis Howgill,George Fox,Undirected,29,1
John Audland,George Fox,Undirected,24,1
William Dewsbury,George Fox,Undirected,18,1
William Mucklow,George Fox,Undirected,15,1
George Whitehead,Rebecca Travers,Undirected,129,1
George Whitehead,John Story,Undirected,128,1
George Whitehead,Daniel Quare,Undirected,126,1
George Whitehead,John Whitehead,Undirected,125,1
George Whitehead,Alexander Parker,Undirected,124,1
Richard Hubberthorne,George Whitehead,Undirected,120,1
Gilbert Latey,George Whitehead,Undirected,119,1
Francis Bugg,George Whitehead,Undirected,95,1
James Nayler,George Whitehead,Undirected,77,1
William Rogers,George Whitehead,Undirected,36,1
William Bradford,Tace Sowle,Undirected,33,1
James Parnel,Stephen Crisp,Undirected,9,1
Stephen Crisp,William Caton,Undirected,99,1
Peter Collinson,James Logan,Undirected,11,1
Peter Collinson,John Bartram,Undirected,10,1
James Logan,John Bartram,Undirected,110,1
James Logan,David Lloyd,Undirected,112,1
Joseph Wyeth,Thomas Ellwood,Undirected,12,1
John Story,Thomas Ellwood,Undirected,172,1
Thomas Curtis,Thomas Ellwood,Undirected,168,1
Mary Penington,Thomas Ellwood,Undirected,167,1
Edward Burrough,Thomas Ellwood,Undirected,137,1
James Nayler,Thomas Ellwood,Undirected,81,1
William Rogers,Thomas Ellwood,Undirected,35,1
Dorcas Erbery,James Nayler,Undirected,14,1
James Nayler,William Tomlinson,Undirected,84,1
James Nayler,Rebecca Travers,Undirected,83,1
James Nayler,Edward Burrough,Undirected,82,1
James Nayler,Anthony Pearson,Undirected,80,1
James Nayler,Robert Rich,Undirected,79,1
James Nayler,John Perrot,Undirected,78,1
James Nayler,Richard Farnworth,Undirected,76,1
James Nayler,Margaret Fell,Undirected,75,1
James Nayler,Gervase Benson,Undirected,74,1
James Nayler,Hannah Stranger,Undirected,73,1
Martha Simmonds,James Nayler,Undirected,38,1
Francis Howgill,James Nayler,Undirected,27,1
William Dewsbury,John Crook,Undirected,19,1
William Dewsbury,Edward Burrough,Undirected,17,1
Edward Burrough,William Crouch,Undirected,138,1
Edward Burrough,John Perrot,Undirected,136,1
Gilbert Latey,Edward Burrough,Undirected,118,1
John Crook,Edward Burrough,Undirected,117,1
Francis Howgill,Edward Burrough,Undirected,28,1
John Crook,John Perrot,Undirected,116,1
John Audland,Anne Camm,Undirected,25,1
John Audland,Charles Marshall,Undirected,23,1
John Audland,Edward Pyott,Undirected,22,1
John Audland,Francis Howgill,Undirected,21,1
John Audland,John Camm,Undirected,20,1
John Camm,Edward Pyott,Undirected,64,1
John Camm,Thomas Camm,Undirected,63,1
John Camm,Charles Marshall,Undirected,62,1
Francis Howgill,William Crouch,Undirected,31,1
Francis Howgill,Richard Farnworth,Undirected,30,1
Francis Howgill,Martha Simmonds,Undirected,26,1
John Wilkinson,Charles Marshall,Undirected,67,1
Thomas Camm,Anne Camm,Undirected,66,1
Martha Simmonds,Hannah Stranger,Undirected,37,1
Richard Farnworth,Anthony Pearson,Undirected,147,1
Richard Farnworth,Margaret Fell,Undirected,146,1
Richard Farnworth,John Perrot,Undirected,145,1
Richard Hubberthorne,Richard Farnworth,Undirected,121,1
Jane Sowle,Tace Sowle,Undirected,160,1
George Fox the younger,Margaret Fell,Undirected,40,1
Margaret Fell,Anthony Pearson,Undirected,163,1
Margaret Fell,Elizabeth Leavens,Undirected,162,1
Margaret Fell,Alexander Parker,Undirected,161,1
Thomas Lawson,Margaret Fell,Undirected,143,1
William Caton,Margaret Fell,Undirected,142,1
William Mead,Margaret Fell,Undirected,105,1
Thomas Lower,Margaret Fell,Undirected,96,1
Thomas Salthouse,Margaret Fell,Undirected,88,1
John Wilkinson,Alexander Parker,Undirected,70,1
John Wilkinson,John Story,Undirected,69,1
John Wilkinson,Solomon Eccles,Undirected,68,1
John Stubbs,John Burnyeat,Undirected,61,1
John Stubbs,Samuel Fisher,Undirected,60,1
John Stubbs,William Caton,Undirected,59,1
Mary Prince,John Perrot,Undirected,113,1
Mary Fisher,John Perrot,Undirected,90,1
William Ames,William Caton,Undirected,89,1
John Burnyeat,William Edmundson,Undirected,133,1
John ap John,John Burnyeat,Undirected,115,1
Thomas Camm,John Story,Undirected,65,1
Thomas Curtis,John Story,Undirected,170,1
Solomon Eccles,John Story,Undirected,131,1
Alexander Parker,Sir Charles Wager,Undirected,171,1
Thomas Lawson,Alexander Parker,Undirected,144,1
John Swinton,David Barclay of Ury,Undirected,72,1
Gervase Benson,Anthony Pearson,Undirected,98,1
Robert Rich,William Tomlinson,Undirected,132,1
Thomas Aldam,Anthony Pearson,Undirected,173,1
Rebecca Travers,Alice Curwen,Undirected,140,1
Anthony Sharp,William Edmundson,Undirected,87,1
Anthony Sharp,Thomas Curtis,Undirected,86,1
Anthony Sharp,Samuel Clarridge,Undirected,85,1
Samuel Clarridge,James Claypoole,Undirected,94,1
Thomas Curtis,William Simpson,Undirected,169,1
Mary Penington,Thomas Curtis,Undirected,166,1
Mary Fisher,Mary Prince,Undirected,91,1
Henry Pickworth,Francis Bugg,Undirected,93,1
William Gibson,Thomas Holme,Undirected,103,1
Elizabeth Leavens,Thomas Holme,Undirected,164,1
Joseph Besse,Samuel Bownas,Undirected,123,1
Joseph Besse,Richard Claridge,Undirected,122,1
Silvanus Bevan,Daniel Quare,Undirected,130,1
John Penington,Mary Penington,Undirected,149,1
Lewis Morris,Sir Charles Wager,Undirected,165,1
