Source,Target,Type,Id,Weight,Relationship,Source
PAUL TELLER,DONALD J. TRUMP,Undirected,6,1,Special assistant,https://www.documentcloud.org/documents/3534342-Teller-Paul.html
DONALD J. TRUMP,JOE HAGIN,Undirected,2639,1,Deputy chief of staff for operations,http://www.cnn.com/2017/01/04/politics/bill-stepien-chris-christie-donald-trump-white-house/
DONALD J. TRUMP,KELLYANNE CONWAY,Undirected,2638,1,White House Counselor,General knowledge
DONALD J. TRUMP,WILBUR ROSS,Undirected,2634,1,Secretary of Commerce,General knowledge
DONALD J. TRUMP,GEORGE E. NORCROSS III,Undirected,2628,1,"""whose friendship with Mr. Trump dates to the president’s Atlantic City years,"" per the New York Times",https://www.nytimes.com/2017/02/18/us/mar-a-lago-trump-ethics-winter-white-house.html?_r=0
DONALD J. TRUMP,JARED KUSHNER,Undirected,2626,1,Senior adviser,https://www.washingtonpost.com/news/post-politics/wp/2017/01/09/tumps-son-in-law-jared-kushner-expected-to-join-white-house-as-a-senior-adviser/?utm_term=.a3958e1d3829
DONALD J. TRUMP,STEPHEN A. SCHWARZMAN,Undirected,2625,1,Chair of Trump's Strategic and Policy forum,http://fortune.com/2016/12/14/donald-trump-musk-kalanick-nooyi/
DONALD J. TRUMP,DAVID SHULKIN,Undirected,2621,1,Secretary of Veterans Affairs,http://www.usnews.com/news/national-news/articles/2017-02-09/10-things-you-didnt-know-about-david-shulkin
DONALD J. TRUMP,JAMES SHERK,Undirected,2618,1,White House Domestic Policy Council labor and employment advisor,https://www.bna.com/trumps-new-labor-n57982084346/
DONALD J. TRUMP,BRIAN BAUDREAU,Undirected,2617,1,Former driver,https://www.nytimes.com/2016/12/25/us/politics/trump-organization-business.html?_r=0
DONALD J. TRUMP,SEAN HANNITY,Undirected,2615,1,"A top touchstone outside the White House, according to the New York Times",https://www.nytimes.com/2017/04/22/us/politics/donald-trump-white-house.html?_r=1
DONALD J. TRUMP,ROBERT GOAD,Undirected,2610,1,Special assistant,https://www.documentcloud.org/documents/3534080-Goad-Robert.html
DONALD J. TRUMP,STEVEN N. CHEUNG,Undirected,2608,1,Assistant communications director,https://www.documentcloud.org/documents/3534333-Cheung-Steven-N.html
DONALD J. TRUMP,BILL STEPIEN,Undirected,2607,1,White House political director,http://www.cnn.com/2017/01/04/politics/bill-stepien-chris-christie-donald-trump-white-house/
DONALD J. TRUMP,AJIT PAI,Undirected,2605,1,Appointed chairman of the Federal Communications Commission,http://www.usatoday.com/story/tech/news/2017/01/23/new-fcc-chairman-ajit-pai-no-net-neutrality-fan/96967372/
DONALD J. TRUMP,ALLEN WEISSELBERG,Undirected,2597,1,"""One of Donald Trump's longtime confidants,"" per the Wall Street Journal",http://blogs.wsj.com/cfo/2016/11/05/donald-trumps-loyal-numbers-man/
DONALD J. TRUMP,ERIC UELAND,Undirected,2596,1,"""Leader"" in the transition team per CNN",http://www.cnn.com/2016/11/10/politics/donald-trump-transition-drain-the-swamp/
DONALD J. TRUMP,ADO MACHIDA,Undirected,2575,1,Director of policy implementation for Trump transition team,http://www.cnn.com/2016/11/10/politics/donald-trump-transition-drain-the-swamp/ | https://www.linkedin.com/in/ado-machida-68a9a64
DONALD J. TRUMP,THOMAS J. BARRACK JR.,Undirected,2571,1,Inauguration committee chairman,https://www.donaldjtrump.com/press-releases/president-elect-trump-announces-presidentialinaugural-committee-leader
DONALD J. TRUMP,MEHMET ALI YALCINDAG,Undirected,2565,1,Business partners,http://www.nytimes.com/2016/11/26/us/politics/donald-trump-international-business.html
DONALD J. TRUMP,VICTOR PINCHUK,Undirected,2563,1,Trump made video appearance for Pinchuk's convention,https://www.buzzfeed.com/paulmcleod/trump-foundation-received-150000-donation-in-exchange-for-20?utm_term=.wtQZdJa2V#.llzLxNkYw
