Id,Label,d0
ANDREW GRAVES,ANDREW GRAVES,Person
PAUL TELLER,PAUL TELLER,Person
DAVID S. CORDISH,DAVID S. CORDISH,Person
CUI TIANKAI,CUI TIANKAI,Person
NIR EREL MARGALIT,NIR EREL MARGALIT,Person
HOPE HICKS,HOPE HICKS,Person
ANDREW D. KOENIG,ANDREW D. KOENIG,Person
JOEL HIRSCH,JOEL HIRSCH,Person
JOSEPH LAI,JOSEPH LAI,Person
KENNETH M. DUBERSTEIN,KENNETH M. DUBERSTEIN,Person
CATHY SOLOMON,CATHY SOLOMON,Person
DEBBIE BERMAN,DEBBIE BERMAN,Person
NOEL FRANCISCO,NOEL FRANCISCO,Person
CHARLES G. KOCH,CHARLES G. KOCH,Person
CYNTHIA HIRSCH,CYNTHIA HIRSCH,Person
NIKKI HALEY,NIKKI HALEY,Person
CHRISTIE TODD WHITMAN,CHRISTIE TODD WHITMAN,Person
YURI MILNER,YURI MILNER,Person
JOHN DESTEFANO,JOHN DESTEFANO,Person
CHLOE MURDOCH,CHLOE MURDOCH,Person
FREDERICK RUSTMANN,FREDERICK RUSTMANN,Person
JEFFREY WEISS,JEFFREY WEISS,Person
SCOTT GAST,SCOTT GAST,Person
MYRNA HAFT,MYRNA HAFT,Person
BENY STEINMETZ,BENY STEINMETZ,Person
LEE EICKMEYER,LEE EICKMEYER,Person
BRAD PARSCALE,BRAD PARSCALE,Person
STEPHEN VADEN,STEPHEN VADEN,Person
CARLOS DIAZ-ROSILLO,CARLOS DIAZ-ROSILLO,Person
MATTHEW CALAMAN,MATTHEW CALAMAN,Person
SHERI A. DILLON,SHERI A. DILLON,Person
PETER THIEL,PETER THIEL,Person
KENNETH W. O'KEEFE,KENNETH W. O'KEEFE,Person
MINA PATEL,MINA PATEL,Person
KAZUNORI OHTSUKA,KAZUNORI OHTSUKA,Person
KEITH SCHILLER,KEITH SCHILLER,Person
JONATHAN MECHANIC,JONATHAN MECHANIC,Person
SERHIY LYOVOCHKIN,SERHIY LYOVOCHKIN,Person
LLOYD MILLER,LLOYD MILLER,Person
MARYANNE TRUMP BARRY,MARYANNE TRUMP BARRY,Person
JOEL I. KLEIN,JOEL I. KLEIN,Person
ZIYA MAMMADOV,ZIYA MAMMADOV,Person
GARY COHN,GARY COHN,Person
WILLIAM OBERNDORF,WILLIAM OBERNDORF,Person
JILL MARTIN,JILL MARTIN,Person
ANTHONY SCARAMUCCI,ANTHONY SCARAMUCCI,Person
ROBERT A. IGER,ROBERT A. IGER,Person
ALEXANDER GRAY,ALEXANDER GRAY,Person
BRUCE E. TOLL,BRUCE E. TOLL,Person
CESAR CONDE,CESAR CONDE,Person
JOHN DELL SAUTER,JOHN DELL SAUTER,Person
REBEKAH MERCER,REBEKAH MERCER,Person
RUDY GIULIANI,RUDY GIULIANI,Person
ALAN HAMMER,ALAN HAMMER,Person
MARY T. BARRA,MARY T. BARRA,Person
MARK HOLLOWAY,MARK HOLLOWAY,Person
DOUGLAS DURBANO,DOUGLAS DURBANO,Person
RUPERT MURDOCH,RUPERT MURDOCH,Person
SALLY PRIEBUS,SALLY PRIEBUS,Person
SCOTT WALKER,SCOTT WALKER,Person
ZHUO RAN,ZHUO RAN,Person
MARK STEVEN KIRK,MARK STEVEN KIRK,Person
MITCHELL QUAIN,MITCHELL QUAIN,Person
JULIAN ASSANGE,JULIAN ASSANGE,Person
JILL GILES,JILL GILES,Person
ALBERT ROSS SR.,ALBERT ROSS SR.,Person
DARRYLE BURNHAM,DARRYLE BURNHAM,Person
ROD BLUM,ROD BLUM,Person
SEBASTIAN GORKA,SEBASTIAN GORKA,Person
LI KA-SHING,LI KA-SHING,Person
CHARLES A. MOHLER,CHARLES A. MOHLER,Person
SHAUN CAIN,SHAUN CAIN,Person
"RICHARD MARVIN ""DICK"" DEVOS JR.","RICHARD MARVIN ""DICK"" DEVOS JR.",Person
JONATHAN SPITALNY,JONATHAN SPITALNY,Person
MIKE PENCE,MIKE PENCE,Person
SHARON QUAIN,SHARON QUAIN,Person
DEANNE HUTCHINSON,DEANNE HUTCHINSON,Person
STRAUSS ZELNICK,STRAUSS ZELNICK,Person
FABIEN BAUSSART,FABIEN BAUSSART,Person
MARCO RUBIO,MARCO RUBIO,Person
LINDA BEAN,LINDA BEAN,Person
YOSHIO MATSUURA,YOSHIO MATSUURA,Person
JOHN FLEMING,JOHN FLEMING,Person
EDWARD M. BURKE,EDWARD M. BURKE,Person
JUDITH WEISS,JUDITH WEISS,Person
THOMAS JOSEPH ROONEY,THOMAS JOSEPH ROONEY,Person
CINDY SITES,CINDY SITES,Person
THOMAS EDWIN JUNIOR DUPAR,THOMAS EDWIN JUNIOR DUPAR,Person
ANTHONY W. PARKER,ANTHONY W. PARKER,Person
BRENDA AXELROD,BRENDA AXELROD,Person
TONY TIAH THEE KIAN,TONY TIAH THEE KIAN,Person
STEVEN MNUCHIN,STEVEN MNUCHIN,Person
RICARDO HAZOURY,RICARDO HAZOURY,Person
JOHN COLAMARINO,JOHN COLAMARINO,Person
RICHARD SALTZMAN,RICHARD SALTZMAN,Person
BENJAMIN NETANYAHU,BENJAMIN NETANYAHU,Person
JOHN CORYN,JOHN CORYN,Person
RICHARD LEFRAK,RICHARD LEFRAK,Person
SIMON ISAACS,SIMON ISAACS,Person
STEPHEN MUNISTERI,STEPHEN MUNISTERI,Person
JAMES SCHULTZ,JAMES SCHULTZ,Person
NICK AYERS,NICK AYERS,Person
STEVE KING,STEVE KING,Person
TONY CHARLES SOLE,TONY CHARLES SOLE,Person
GERRIT LANSING,GERRIT LANSING,Person
JACK MA,JACK MA,Person
ERIC TRUMP,ERIC TRUMP,Person
CINDY SIMMS,CINDY SIMMS,Person
RICHARD GOETTLICH,RICHARD GOETTLICH,Person
DON MCGAHN,DON MCGAHN,Person
PATRICIA LEVESQUE,PATRICIA LEVESQUE,Person
ARRON BANKS,ARRON BANKS,Person
MARC LOTTER,MARC LOTTER,Person
ANDY PUZDER,ANDY PUZDER,Person
HAROLD G. HAMM,HAROLD G. HAMM,Person
JORGE LEIS,JORGE LEIS,Person
CHARLES COLLETTA,CHARLES COLLETTA,Person
JESSICA DITTO,JESSICA DITTO,Person
KIMIO NAKAMURA,KIMIO NAKAMURA,Person
MARC SHORT,MARC SHORT,Person
SERGEY I. KISLYAK,SERGEY I. KISLYAK,Person
RANDI LANE,RANDI LANE,Person
CATHERINE BRAY GRIFFITH,CATHERINE BRAY GRIFFITH,Person
RAZ STEINMETZ,RAZ STEINMETZ,Person
JAN SCHECK,JAN SCHECK,Person
IAIN MAURY CAMPBELL MEIKLEJOHN,IAIN MAURY CAMPBELL MEIKLEJOHN,Person
BERND LEMBCKE,BERND LEMBCKE,Person
JT FOXX,JT FOXX,Person
THOMAS HUTCHINSON,THOMAS HUTCHINSON,Person
ELVIRA KUDRYASHOVA,ELVIRA KUDRYASHOVA,Person
IRA SCHNEIDER,IRA SCHNEIDER,Person
CHRISTINE CHAO,CHRISTINE CHAO,Person
GEORGE T. CONWAY III,GEORGE T. CONWAY III,Person
CHARLES R. SCHWAB,CHARLES R. SCHWAB,Person
JOHN TALBOTT,JOHN TALBOTT,Person
GARY PALMER,GARY PALMER,Person
ALEX SHNAIDER,ALEX SHNAIDER,Person
STEWART SELBIE,STEWART SELBIE,Person
VICTOR HEGGELMAN,VICTOR HEGGELMAN,Person
STEPHEN BANNON,STEPHEN BANNON,Person
LYNNE M PATTON,LYNNE M PATTON,Person
JOHN GRAY,JOHN GRAY,Person
CARLOS ARREDONDO,CARLOS ARREDONDO,Person
EDWARD LAMPERT,EDWARD LAMPERT,Person
MARTY OBST,MARTY OBST,Person
JAMES S.C. CHAO,JAMES S.C. CHAO,Person
"WALTER J. ""JAY"" CLAYTON III","WALTER J. ""JAY"" CLAYTON III",Person
MIKIYASU KAYANUMA,MIKIYASU KAYANUMA,Person
ALEXANDER NIX,ALEXANDER NIX,Person
ROGER KHAFIF,ROGER KHAFIF,Person
PAUL WINFREE,PAUL WINFREE,Person
BERNIE MARCUS,BERNIE MARCUS,Person
THOMAS PETERFFY,THOMAS PETERFFY,Person
YURY ZAYTSEV,YURY ZAYTSEV,Person
JACK WEISSELBERG,JACK WEISSELBERG,Person
XI JINPING,XI JINPING,Person
NOELLE NIKPOUR,NOELLE NIKPOUR,Person
BORIS EPSHTEYN,BORIS EPSHTEYN,Person
JOHN GORE,JOHN GORE,Person
STEVE TATHAM,STEVE TATHAM,Person
TOSHIO KABAYASHI,TOSHIO KABAYASHI,Person
BETHANY SCULLY,BETHANY SCULLY,Person
IKE PERLMUTTER,IKE PERLMUTTER,Person
CHARLES KUSHNER,CHARLES KUSHNER,Person
BOB DOLE,BOB DOLE,Person
STEVEN ROTH,STEVEN ROTH,Person
ANAR MAMMADOV,ANAR MAMMADOV,Person
VIKTOR KHRAPUNOV,VIKTOR KHRAPUNOV,Person
RECEP TAYYIP ERDOGAN,RECEP TAYYIP ERDOGAN,Person
BEN CARSON,BEN CARSON,Person
DMYTRO FIRTASH,DMYTRO FIRTASH,Person
PAM MULVANEY,PAM MULVANEY,Person
ROBERT LEE SCOTT,ROBERT LEE SCOTT,Person
ALAN GARTEN,ALAN GARTEN,Person
URS LEDERMANN,URS LEDERMANN,Person
GEORGE GIGICOS,GEORGE GIGICOS,Person
HUSSAIN ALI SAJWANI,HUSSAIN ALI SAJWANI,Person
MITCH MCCONNELL,MITCH MCCONNELL,Person
OMAROSÉ ONEE MANIGAULT,OMAROSÉ ONEE MANIGAULT,Person
JOHN SHALAM,JOHN SHALAM,Person
MICK MULVANEY,MICK MULVANEY,Person
FRANK TORRICELLI,FRANK TORRICELLI,Person
SUSAN KAPLAN,SUSAN KAPLAN,Person
MADELEINE WESTERHOUT,MADELEINE WESTERHOUT,Person
EDUARD SHIFRIN,EDUARD SHIFRIN,Person
JENNIFER MERCER,JENNIFER MERCER,Person
RONALD C. LIEBERMAN,RONALD C. LIEBERMAN,Person
MARK SCHECK,MARK SCHECK,Person
SEAN CAIRNCROSS,SEAN CAIRNCROSS,Person
