Source,Target,Type,Id,Label,timeset,Weight,d2,d1
PAUL TELLER,DONALD J. TRUMP,Undirected,6,,,1,https://www.documentcloud.org/documents/3534342-Teller-Paul.html,Special assistant
DAVID S. CORDISH,REED S. CORDISH,Undirected,18,,,1,http://www.baltimoresun.com/news/maryland/politics/blog/bal-reed-cordish-to-join-trump-administration-20170105-story.html,Parent/child
DAVID S. CORDISH,DONALD J. TRUMP,Undirected,19,,,1,http://www.baltimoresun.com/news/maryland/politics/blog/bal-reed-cordish-to-join-trump-administration-20170105-story.html,Friends
CUI TIANKAI,JARED KUSHNER,Undirected,109,,,1,https://www.bloomberg.com/politics/articles/2017-02-07/china-courts-ivanka-jared-kushner-to-smooth-ties-with-trump,"""Kushner and Cui have had an extensive ongoing dialogue that has been positive, according to a White House official,"" per Bloomberg"
HOPE HICKS,DONALD J. TRUMP,Undirected,130,,,1,https://www.documentcloud.org/documents/3534459-Hicks-Hope.html,"Director of Strategic Communications, White House"
ANDREW D. KOENIG,DONALD J. TRUMP,Undirected,134,,,1,https://www.documentcloud.org/documents/3534057-Koenig-Andrew-D.html,Special assistant
JOSEPH LAI,DONALD J. TRUMP,Undirected,139,,,1,https://www.documentcloud.org/documents/3534041-Lai-Joseph.html,Special assistant
NOEL FRANCISCO,DONALD J. TRUMP,Undirected,179,,,1,http://www.jonesday.com/jones-day-lawyers-tapped-for-federal-and-state-posts-01-20-2017/,Principal Deputy Solicitor General
CHARLES G. KOCH,WILLIAM I. KOCH,Undirected,197,,,1,http://www.forbes.com/profile/koch/,Siblings
CHARLES G. KOCH,MARC SHORT,Undirected,198,,,1,http://www.politico.com/story/2016/02/marc-short-marco-rubio-219664,"""the Koch brothers’ top political adviser in Washington and a trusted member of their inner circle for five years,"" per Politico"
CHARLES G. KOCH,DAVID H. KOCH,Undirected,199,,,1,http://www.forbes.com/profile/koch/,Siblings
NIKKI HALEY,DONALD J. TRUMP,Undirected,221,,,1,General knowledge,Ambassador to the United Nations
JOHN DESTEFANO,DONALD J. TRUMP,Undirected,247,,,1,http://www.cnn.com/2017/01/04/politics/bill-stepien-chris-christie-donald-trump-white-house/,Director of presidential personnel
CHLOE MURDOCH,IVANKA TRUMP,Undirected,258,,,1,https://www.ft.com/content/a615f0ce-ed90-11e6-930f-061b01e23655,Former trustee
